rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i05r08c06s09,2,3212339,2,8431,2,384236,2,12802778,1,858093408,1,2312816792,1,18802925,1,113037868,2,880162978,2,5892745,1,39509453,2,101525,2,167141588,2,162450,2,62418809,2,154123,432,30890845201,921,181931683,0,0
1,i05r08c06s09,2,3260034,2,8869,2,388616,2,8650975,1,385369946,1,2252230534,1,18912194,1,160047034,2,407571116,2,8202684,1,39388536,2,79239,2,141963262,2,85822,2,70730669,2,87197,432,50505003023,921,205486398,0,0
2,i05r08c06s09,2,3293763,2,8571,2,463609,2,12131585,1,856152339,1,2311405229,1,19058060,1,109074237,2,878533907,2,7154912,1,38062023,2,84415,2,161583129,2,137350,2,103505752,2,119200,432,51336351592,921,193747447,0,0
3,i05r08c06s09,2,3254761,2,8888,2,401747,2,8899964,1,490060357,1,2313012544,1,18988369,1,112680789,2,512332695,2,7314524,1,38175574,2,80903,2,144979304,2,108194,2,85827532,2,107137,432,52016986579,921,207881799,0,0
4,i05r08c06s09,2,3317704,2,8964,2,469772,2,13618518,1,920841979,1,2251786060,1,19036003,1,118541977,2,943225638,2,6447788,1,39738824,2,83520,2,168102731,2,163641,2,72012512,2,117536,432,51540730797,921,197443658,0,0
5,i05r08c06s09,2,3255595,2,8597,2,385781,2,7886028,1,696314942,1,2266262154,1,18909311,1,113636877,2,718507028,2,6478610,1,38246039,2,80247,2,133148353,2,85582,2,73553698,2,107980,432,51444163411,921,196102070,0,0
6,i05r08c06s09,2,3248778,2,9017,2,393627,2,12254815,1,895409221,1,2344029820,1,18904169,1,116156608,2,917591921,2,8813702,1,39546835,2,104794,2,176516042,2,163425,2,59522793,2,151023,432,50949850248,921,204308340,0,0
7,i05r08c06s09,2,3272462,2,9074,2,319260,2,8047053,1,646311107,1,2248288457,1,18992390,1,111736233,2,668603850,2,5916565,1,39702584,2,79513,2,136264314,2,83832,2,70818110,2,96843,432,51168936379,921,209612713,0,0
8,i05r08c06s09,2,3217510,2,8276,2,398772,2,8647213,1,838881372,1,2321654433,1,19085630,1,110820155,2,861213622,2,8584530,1,39588695,2,80033,2,133976570,2,85499,2,81858442,2,90234,432,50926885331,921,198422450,0,0
9,i05r08c06s09,2,3266914,2,8460,2,391506,2,8289768,1,475213253,1,2306792821,1,18789431,1,116677407,2,497298681,2,6977987,1,39231862,2,81017,2,133865271,2,85638,2,73220784,2,100686,432,51728894642,921,211515676,0,0
