rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r04c01s06,2,132903,2,5962,2,51773,2,236783,1,23447716,1,16694486,1,769557,1,206530,2,24376818,2,9215,1,1518875,2,7372,2,6184580,2,2968,2,1701197,2,17779,85,21175800,232,5458158,0,0
1,i01r04c01s06,2,136853,2,5957,2,56076,2,198520,1,8948214,1,19230976,1,1011262,1,264364,2,10114780,2,7076,1,1519804,2,3169,2,6541860,2,2300,2,1830486,2,17416,85,23173661,232,5065020,0,0
2,i01r04c01s06,2,129102,2,6310,2,48464,2,267345,1,23666396,1,9471513,1,948873,1,197480,2,24763283,2,4746,1,1519227,2,3375,2,6298593,2,1914,2,1743387,2,16137,85,23034155,232,5041408,0,0
3,i01r04c01s06,2,133455,2,6723,2,45912,2,199275,1,23564033,1,19515835,1,914807,1,410919,2,24631677,2,4582,1,1519487,2,3786,2,5865249,2,3003,2,1998680,2,16223,85,24091287,232,5087766,0,0
4,i01r04c01s06,2,135987,2,6064,2,48712,2,225978,1,12806598,1,16688602,1,1030808,1,224352,2,13991060,2,5704,1,1520326,2,2931,2,6806116,2,2729,2,2171597,2,15826,85,22526193,232,4915975,0,0
5,i01r04c01s06,2,135502,2,6398,2,49611,2,197688,1,23100852,1,19521309,1,1000585,1,228774,2,24254807,2,5701,1,1524231,2,2999,2,6586835,2,2520,2,1977301,2,16554,85,23165634,232,5244350,0,0
6,i01r04c01s06,2,149536,2,7366,2,82332,2,484324,1,23735439,1,15586490,1,988965,1,221835,2,24896368,2,4849,1,1518391,2,4617,2,9740592,2,3219,2,2555944,2,25412,85,21992980,232,5093461,0,0
7,i01r04c01s06,2,135036,2,6127,2,50888,2,196841,1,1944936,1,18603632,1,963541,1,229516,2,3061585,2,5756,1,1519855,2,3258,2,7212404,2,2172,2,2283556,2,16055,85,23734919,232,5237621,0,0
8,i01r04c01s06,2,135799,2,6243,2,57906,2,202079,1,23188969,1,17400214,1,1165658,1,253878,2,24511250,2,5202,1,1547473,2,3093,2,6538923,2,2386,2,1909273,2,16469,85,21166674,232,5247069,0,0
9,i01r04c01s06,2,132570,2,6170,2,50802,2,197097,1,11480276,1,15203983,1,1171900,1,211659,2,12803304,2,6116,1,1522266,2,3443,2,6734710,2,2176,2,1990740,2,16084,85,23582198,232,5188413,0,0
