rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r01c03s01,2,288929,2,15503,2,42872,2,455101,1,2750021,1,105942937,1,1125102,1,376892,2,4199826,2,10270,1,2155909,2,7441,2,7312774,2,2395,2,1451611,2,21827,64,18434928,189,3840680,0,0
1,i01r01c03s01,2,279500,2,13635,2,38781,2,426905,1,2871599,1,106283815,1,1115452,1,633671,2,4293090,2,9035,1,2136346,2,3592,2,6843697,2,2383,2,1548146,2,18329,64,19447088,189,3774889,0,0
2,i01r01c03s01,2,259374,2,13672,2,58111,2,333948,1,2964287,1,105650112,1,1305523,1,507071,2,4554702,2,8025,1,2158472,2,3477,2,7223752,2,2061,2,1683664,2,16733,64,18998862,189,3629494,0,0
3,i01r01c03s01,2,268334,2,12854,2,39897,2,465475,1,2765757,1,105659968,1,1069629,1,201895,2,4129488,2,6631,1,2143006,2,3510,2,7415390,2,3130,2,1645599,2,18613,64,19706264,189,3636459,0,0
4,i01r01c03s01,2,264190,2,13173,2,36009,2,384921,1,2364226,1,105602229,1,1213256,1,336687,2,3866136,2,8948,1,2163138,2,3466,2,6693066,2,2689,2,1636659,2,17919,64,18430866,189,3571523,0,0
5,i01r01c03s01,2,274547,2,12819,2,39145,2,282489,1,3384611,1,104662802,1,1095565,1,267881,2,4779949,2,6277,1,2140622,2,3905,2,7121043,2,2289,2,1640727,2,17499,64,19878068,189,3598755,0,0
6,i01r01c03s01,2,275985,2,13414,2,42600,2,299814,1,3387614,1,106148889,1,1322528,1,422193,2,5011400,2,6503,1,2156359,2,3809,2,7334870,2,2693,2,1675909,2,17619,64,19202055,189,3582161,0,0
7,i01r01c03s01,2,272229,2,13714,2,40039,2,532644,1,2475978,1,105460158,1,1426955,1,621804,2,4201811,2,6948,1,2142499,2,4097,2,7766307,2,2314,2,1626146,2,19985,64,18998259,189,3632532,0,0
8,i01r01c03s01,2,268854,2,13357,2,42791,2,278464,1,3207316,1,106714585,1,1209103,1,489779,2,4711680,2,7177,1,2158851,2,4294,2,7227141,2,2708,2,1644548,2,36098,64,19009213,189,3546472,0,0
9,i01r01c03s01,2,260122,2,13748,2,39633,2,275627,1,4093388,1,105425033,1,1328951,1,201253,2,5708635,2,6399,1,2142168,2,4054,2,7484290,2,3066,2,1627755,2,20401,64,19641209,189,3662019,0,0
10,i01r01c03s01,2,270182,2,14760,2,39408,2,441439,1,2376356,1,105339432,1,1229409,1,565598,2,3902443,2,8355,1,2159344,2,3775,2,7091729,2,2169,2,2061368,2,18456,64,18936076,189,3580577,0,0
11,i01r01c03s01,2,274609,2,13414,2,38595,2,582924,1,2789223,1,106059166,1,1211836,1,337654,2,4300927,2,6605,1,2192519,2,3874,2,7980357,2,2938,2,1626881,2,18847,64,17850114,189,3702466,0,0
12,i01r01c03s01,2,271602,2,13822,2,39557,2,534878,1,2475226,1,106066342,1,1383762,1,831590,2,4155869,2,9809,1,2157739,2,3628,2,7309158,2,2471,2,2158004,2,18551,64,18438634,189,3616403,0,0
13,i01r01c03s01,2,280221,2,13567,2,40681,2,742514,1,2828916,1,104688643,1,1076049,1,323590,2,4211145,2,6761,1,2141380,2,4143,2,7192747,2,2597,2,1974089,2,18158,64,19176753,189,3664100,0,0
14,i01r01c03s01,2,308250,2,13243,2,44607,2,380170,1,4322127,1,106372182,1,1054422,1,642599,2,5710679,2,6030,1,2157133,2,4054,2,6951293,2,2692,2,1869305,2,18736,64,19082128,189,3544265,0,0
15,i01r01c03s01,2,257540,2,13271,2,40513,2,358024,1,1550241,1,106474033,1,1224913,1,691269,2,3057668,2,9662,1,2186510,2,3523,2,6595959,2,2397,2,1777787,2,16955,64,17145530,189,3645417,0,0
16,i01r01c03s01,2,258253,2,13307,2,39641,2,483419,1,2501102,1,104634037,1,1324304,1,654433,2,4108939,2,6968,1,2184978,2,3700,2,8064287,2,2675,2,1605659,2,17787,64,16292358,189,3606136,0,0
17,i01r01c03s01,2,277282,2,13325,2,39913,2,342479,1,4030576,1,105594042,1,1255094,1,812432,2,5588417,2,5879,1,2188574,2,4708,2,7008363,2,2420,2,1959647,2,19225,64,17535141,189,3670226,0,0
18,i01r01c03s01,2,268082,2,13900,2,43080,2,350781,1,4235578,1,105455723,1,1114636,1,606070,2,5645617,2,9008,1,2145540,2,3679,2,7097266,2,2910,2,1446091,2,18761,64,19001952,189,3596095,0,0
19,i01r01c03s01,2,271540,2,13546,2,41220,2,541503,1,3054922,1,106078830,1,1093854,1,1101373,2,4445318,2,8481,1,2139475,2,4147,2,7133961,2,2601,2,1923919,2,18368,64,19719300,189,3626342,0,0
20,i01r01c03s01,2,262829,2,12973,2,40278,2,407910,1,2902166,1,106106715,1,1368104,1,706821,2,4558723,2,7522,1,2146882,2,3778,2,7266031,2,2207,2,1574116,2,18064,64,19025432,189,3640990,0,0
21,i01r01c03s01,2,269726,2,13873,2,36859,2,390832,1,2808545,1,104532155,1,1123380,1,437330,2,4227588,2,6627,1,2187679,2,3165,2,7082809,2,2453,2,1765328,2,17603,64,17669780,189,3636537,0,0
22,i01r01c03s01,2,282816,2,14148,2,59042,2,453990,1,2991225,1,105832323,1,1373998,1,431145,2,4676480,2,7323,1,2145194,2,3869,2,8727550,2,2487,2,2199228,2,20262,64,19161089,189,3705209,0,0
23,i01r01c03s01,2,268231,2,13281,2,38554,2,462970,1,3078885,1,104307088,1,1234174,1,1124343,2,4607319,2,6022,1,2139984,2,3983,2,7158963,2,2700,2,1612563,2,18660,64,19712561,189,3641281,0,0
24,i01r01c03s01,2,264981,2,12952,2,44484,2,369335,1,4271032,1,105373715,1,1376346,1,518327,2,5938782,2,6159,1,2145244,2,4108,2,6894255,2,2801,2,1714091,2,19759,64,19073385,189,3677350,0,0
25,i01r01c03s01,2,270419,2,13978,2,39614,2,236236,1,1817457,1,105957766,1,1187078,1,1001632,2,3301848,2,7806,1,2143669,2,3744,2,6551908,2,2344,2,1863507,2,18143,64,19810857,189,3672394,0,0
