rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r04c01s06,2,129123,2,5968,2,47890,2,193806,1,19987267,1,22220505,1,738411,1,191621,2,20883157,2,10281,1,1557632,2,3230,2,6017264,2,2615,2,1620436,2,16396,85,22653124,232,5056188,0,0
1,i01r04c01s06,2,135018,2,6589,2,53132,2,184228,1,9602603,1,23708854,1,1028509,1,191709,2,10785040,2,9071,1,1586050,2,3244,2,7075292,2,2229,2,1910501,2,16421,85,24378171,232,5214236,0,0
2,i01r04c01s06,2,134930,2,5922,2,52375,2,204420,1,20052933,1,21962055,1,989778,1,193768,2,21195395,2,7655,1,1556155,2,2872,2,7148523,2,2323,2,1742001,2,15598,85,24013897,232,5173528,0,0
3,i01r04c01s06,2,133832,2,5941,2,55585,2,182385,1,20396529,1,22838954,1,1092203,1,237768,2,21642230,2,6121,1,1556005,2,3100,2,6586526,2,2301,2,1948865,2,16172,85,25484314,232,5089624,0,0
4,i01r04c01s06,2,127631,2,5983,2,48630,2,346300,1,21260030,1,20556554,1,1054284,1,209124,2,22461075,2,6314,1,1583606,2,3058,2,6392885,2,2138,2,1997192,2,16227,85,21208684,232,4954504,0,0
5,i01r04c01s06,2,133056,2,6549,2,46859,2,184057,1,20159761,1,22966604,1,1032205,1,200807,2,21343785,2,6459,1,1554733,2,3019,2,5677613,2,2481,2,1985519,2,15797,85,25011037,232,5056164,0,0
6,i01r04c01s06,2,127570,2,6146,2,46081,2,201649,1,2116097,1,9677745,1,955946,1,256192,2,3217006,2,6224,1,1585017,2,2876,2,6567888,2,2491,2,2161753,2,15871,85,22812617,232,5009940,0,0
7,i01r04c01s06,2,160968,2,7035,2,52526,2,215045,1,19800002,1,19290726,1,1039979,1,191321,2,21020758,2,7318,1,1591220,2,2861,2,5787661,2,2651,2,2102765,2,16657,85,23355823,232,5302217,0,0
8,i01r04c01s06,2,121561,2,6251,2,46854,2,193374,1,21223001,1,11050223,1,1104917,1,206497,2,22467247,2,6015,1,1557931,2,2773,2,6996342,2,1981,2,1949220,2,16370,85,24154846,232,5094304,0,0
9,i01r04c01s06,2,169634,2,6914,2,69190,2,259989,1,14834124,1,15144408,1,1042131,1,178381,2,16067692,2,5218,1,1558164,2,3729,2,7989497,2,2397,2,1853867,2,20767,85,24729243,232,5262708,0,0
10,i01r04c01s06,2,127599,2,6080,2,51959,2,205288,1,14245486,1,23021941,1,1101072,1,179771,2,15491615,2,6054,1,1555619,2,3093,2,6326999,2,2515,2,1823893,2,16868,85,24961486,232,5135711,0,0
11,i01r04c01s06,2,129338,2,6628,2,48999,2,186597,1,18756366,1,20539621,1,1004151,1,231278,2,19908749,2,7173,1,1556061,2,3080,2,6576544,2,2375,2,1772676,2,15938,85,24811456,232,5159320,0,0
12,i01r04c01s06,2,125110,2,5956,2,46517,2,321664,1,21393750,1,20235397,1,984083,1,204729,2,22520432,2,5548,1,1555182,2,3046,2,6256688,2,2505,2,1841831,2,16267,85,23103148,232,5014719,0,0
13,i01r04c01s06,2,129085,2,6229,2,45868,2,209486,1,20007255,1,21808531,1,1050733,1,217688,2,21204489,2,4972,1,1586136,2,3019,2,5837467,2,2303,2,1823229,2,16058,85,22549644,232,5288379,0,0
14,i01r04c01s06,2,130045,2,6510,2,46223,2,208052,1,21029006,1,10625482,1,1095130,1,261868,2,22272370,2,6013,1,1555508,2,6469,2,6170859,2,2399,2,1857997,2,15985,85,24327323,232,5531989,0,0
15,i01r04c01s06,2,134863,2,6054,2,47015,2,191293,1,19936493,1,19002165,1,888481,1,258309,2,20976848,2,8339,1,1557033,2,2905,2,5692739,2,2076,2,1725042,2,15418,85,25284188,232,5282590,0,0
16,i01r04c01s06,2,121416,2,6028,2,47260,2,208003,1,21127859,1,10552041,1,1028289,1,197764,2,22294770,2,5658,1,1583454,2,3105,2,6184712,2,2471,2,1799800,2,17402,85,21783308,232,5199922,0,0
17,i01r04c01s06,2,187102,2,8062,2,79732,2,502176,1,21460947,1,20645971,1,961887,1,225458,2,22634155,2,5706,1,1589536,2,4182,2,8080837,2,2832,2,2069590,2,24724,85,22393476,232,5240697,0,0
18,i01r04c01s06,2,129686,2,6591,2,59313,2,215713,1,21396907,1,16567105,1,1108677,1,186752,2,22655017,2,6544,1,1582707,2,3193,2,6260590,2,2371,2,1771021,2,15921,85,22931534,232,5120942,0,0
19,i01r04c01s06,2,130990,2,6263,2,51110,2,371794,1,14313370,1,21104434,1,1035465,1,183461,2,15499291,2,10145,1,1557654,2,3029,2,6134740,2,2163,2,1578002,2,17135,85,24513371,232,5246540,0,0
20,i01r04c01s06,2,173008,2,7254,2,82861,2,298457,1,21924477,1,9358382,1,1026304,1,191106,2,23145360,2,5378,1,1552148,2,5400,2,8913538,2,3948,2,1883263,2,26331,85,23623311,232,5223707,0,0
21,i01r04c01s06,2,135281,2,6166,2,53521,2,205647,1,14210855,1,21724719,1,994640,1,192214,2,15360626,2,6312,1,1557235,2,2926,2,6210709,2,2067,2,1843381,2,17424,85,24728153,232,5247702,0,0
22,i01r04c01s06,2,129671,2,6010,2,48822,2,220144,1,21914660,1,19610481,1,862283,1,178958,2,22924933,2,6693,1,1555340,2,2952,2,6245329,2,2718,2,1806695,2,16745,85,24722295,232,5147611,0,0
23,i01r04c01s06,2,128254,2,5638,2,50354,2,337314,1,14666075,1,2633404,1,1117897,1,226248,2,15929776,2,5277,1,1559855,2,3331,2,5810327,2,2404,2,1915913,2,16150,85,24367230,232,5278940,0,0
24,i01r04c01s06,2,121383,2,5777,2,50373,2,199225,1,21351851,1,22914265,1,970110,1,241534,2,22460919,2,8315,1,1557335,2,2926,2,7036960,2,2108,2,1740467,2,16070,85,24145467,232,5179035,0,0
25,i01r04c01s06,2,133918,2,6033,2,57280,2,229591,1,14507705,1,22343006,1,1064230,1,190574,2,15725421,2,6210,1,1558344,2,2932,2,6004334,2,2440,2,1691914,2,17202,85,24877694,232,5313230,0,0
26,i01r04c01s06,2,159093,2,7043,2,76763,2,243243,1,19699124,1,13932518,1,1028899,1,194240,2,20908044,2,6581,1,1557451,2,3321,2,8584887,2,2410,2,2752632,2,19689,85,24559960,232,5267392,0,0
27,i01r04c01s06,2,139328,2,6631,2,53495,2,386059,1,12884226,1,21679954,1,926782,1,182741,2,13968753,2,5611,1,1557898,2,2841,2,6301546,2,2087,2,2108690,2,16085,85,24321592,232,5280300,0,0
28,i01r04c01s06,2,131437,2,6051,2,50709,2,354071,1,21539698,1,19125333,1,1057070,1,250446,2,22746343,2,6886,1,1556321,2,2894,2,6251414,2,2282,2,2034689,2,17241,85,23071993,232,5209791,0,0
29,i01r04c01s06,2,132682,2,6228,2,50746,2,211316,1,20017924,1,22722592,1,1169528,1,191188,2,21336843,2,8183,1,1556397,2,6741,2,5720706,2,2226,2,2258496,2,16241,85,24932656,232,5548991,0,0
30,i01r04c01s06,2,132709,2,6084,2,49062,2,210627,1,19331507,1,15015427,1,1159194,1,192562,2,20641151,2,6114,1,1557983,2,2894,2,6126867,2,2273,2,1796049,2,16349,85,24632987,232,5044087,0,0
31,i01r04c01s06,2,131570,2,6234,2,51357,2,219927,1,12812401,1,22215423,1,1110027,1,275091,2,14072023,2,7433,1,1557862,2,6768,2,6217574,2,2463,2,1608854,2,16067,85,25477687,232,5516729,0,0
32,i01r04c01s06,2,128944,2,6238,2,53404,2,228263,1,8836935,1,20307538,1,1002497,1,201641,2,9986505,2,6739,1,1557464,2,3061,2,6818488,2,2154,2,2011974,2,16700,85,23309269,232,4915800,0,0
33,i01r04c01s06,2,164011,2,7143,2,66696,2,257029,1,12704607,1,23379835,1,879308,1,257736,2,13769121,2,4701,1,1557227,2,3549,2,8574167,2,2372,2,1981292,2,19254,85,24640256,232,5048515,0,0
34,i01r04c01s06,2,136413,2,6438,2,51027,2,220327,1,14475939,1,7896827,1,1055803,1,265600,2,15688474,2,7094,1,1555959,2,3075,2,7020614,2,2524,2,1583461,2,17481,85,23937672,232,5123479,0,0
35,i01r04c01s06,2,166790,2,7547,2,83730,2,288584,1,21596613,1,23032068,1,987924,1,336244,2,22773883,2,5258,1,1587888,2,4268,2,8223815,2,2604,2,1893535,2,24967,85,24347341,232,5243964,0,0
36,i01r04c01s06,2,126985,2,6434,2,50336,2,234120,1,10262192,1,21758379,1,968147,1,232637,2,11375305,2,8184,1,1554735,2,6904,2,6628921,2,1998,2,2299189,2,16635,85,23437972,232,5401233,0,0
37,i01r04c01s06,2,132357,2,6220,2,48781,2,414027,1,21628377,1,21477964,1,883829,1,220008,2,22661981,2,5307,1,1557675,2,2760,2,6637600,2,2168,2,2028987,2,16901,85,24022098,232,5073703,0,0
38,i01r04c01s06,2,124002,2,6075,2,45915,2,189693,1,11878063,1,21021422,1,841718,1,233268,2,12861868,2,6835,1,1556556,2,3230,2,7526704,2,2086,2,1625191,2,17310,85,23943795,232,4971530,0,0
39,i01r04c01s06,2,126783,2,6733,2,49659,2,196573,1,12938320,1,23520617,1,987656,1,210272,2,14071262,2,6516,1,1556618,2,2929,2,6427936,2,2184,2,1662913,2,17396,85,24548235,232,5188377,0,0
40,i01r04c01s06,2,122318,2,6151,2,49936,2,181434,1,19066599,1,10732859,1,1098903,1,246420,2,20305924,2,5897,1,1555736,2,3314,2,5997153,2,2225,2,1676089,2,16687,85,23511787,232,4902621,0,0
41,i01r04c01s06,2,125864,2,6021,2,49706,2,199690,1,13470679,1,24040452,1,973359,1,178978,2,14587800,2,6373,1,1558931,2,6383,2,6159943,2,2720,2,1676598,2,16520,85,24348798,232,5553370,0,0
42,i01r04c01s06,2,129290,2,6542,2,50919,2,223799,1,12090010,1,21422999,1,954087,1,189875,2,13191451,2,6038,1,1557346,2,6782,2,6833056,2,2019,2,1734360,2,17035,85,24559464,232,5493205,0,0
43,i01r04c01s06,2,131350,2,6208,2,51390,2,189980,1,13662110,1,10193250,1,948754,1,308242,2,14760152,2,6631,1,1555546,2,2940,2,6136934,2,1940,2,1695564,2,17075,85,24550166,232,5102556,0,0
44,i01r04c01s06,2,120466,2,6417,2,50578,2,204967,1,12525772,1,18564921,1,1093978,1,250690,2,13758220,2,6585,1,1555848,2,2873,2,6694278,2,2102,2,1691738,2,16977,85,23590995,232,5093287,0,0
45,i01r04c01s06,2,136373,2,6352,2,50021,2,223567,1,1042800,1,23587997,1,889480,1,194845,2,2088068,2,6960,1,1585453,2,3048,2,7281866,2,2672,2,1577607,2,17559,85,22423778,232,5285453,0,0
46,i01r04c01s06,2,126760,2,6233,2,44629,2,176577,1,20706061,1,22293636,1,986472,1,229120,2,21838156,2,5844,1,1554693,2,2744,2,6223776,2,2183,2,1592087,2,16850,85,23942837,232,5223579,0,0
47,i01r04c01s06,2,132548,2,6258,2,49796,2,201900,1,14592265,1,23113305,1,956529,1,178208,2,15699373,2,5980,1,1555432,2,3173,2,6756845,2,2193,2,1668913,2,17705,85,25059317,232,5146269,0,0
