rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r04c01s06,2,157910,2,6711,2,50805,2,221133,1,13450810,1,11544279,1,793516,1,196709,2,14431397,2,9834,1,1637884,2,3108,2,6245298,2,2901,2,1675751,2,16492,85,23624672,232,5040309,0,0
1,i01r04c01s06,2,126290,2,6171,2,48766,2,323846,1,19576017,1,21241992,1,1026580,1,196601,2,20746860,2,5692,1,1624922,2,2852,2,5962524,2,2422,2,1868385,2,16890,85,24498119,232,5203227,0,0
2,i01r04c01s06,2,129522,2,6277,2,50725,2,227491,1,12970874,1,18954073,1,969614,1,268367,2,14088196,2,5472,1,1567586,2,3107,2,6287400,2,2197,2,1721643,2,15962,85,25227133,232,5043391,0,0
3,i01r04c01s06,2,131205,2,6011,2,49961,2,401703,1,20628196,1,19599921,1,961494,1,238281,2,21739249,2,5937,1,1563971,2,3321,2,5838190,2,2013,2,1941866,2,16726,85,24659715,232,5101298,0,0
4,i01r04c01s06,2,134544,2,5912,2,48801,2,212638,1,11290823,1,21208362,1,1051741,1,247113,2,12495658,2,6209,1,1564455,2,3400,2,6630484,2,2670,2,2137804,2,17149,85,24976395,232,4888327,0,0
5,i01r04c01s06,2,135848,2,6155,2,47711,2,201637,1,20067737,1,19623140,1,885351,1,217705,2,21107435,2,5904,1,1556980,2,6792,2,6041189,2,2329,2,1944455,2,17132,85,25759768,232,5614605,0,0
6,i01r04c01s06,2,133938,2,5830,2,49360,2,209167,1,15391500,1,20803468,1,886169,1,262750,2,16428903,2,5118,1,1588864,2,6744,2,6192132,2,2426,2,2177509,2,16671,85,23051994,232,5390034,0,0
7,i01r04c01s06,2,131734,2,6231,2,48788,2,190694,1,19943705,1,19319489,1,1022788,1,199996,2,21116117,2,5764,1,1586705,2,3019,2,6689098,2,2775,2,2182350,2,16616,85,23600257,232,5219115,0,0
8,i01r04c01s06,2,122630,2,6443,2,50429,2,192143,1,16606778,1,17900548,1,1091020,1,194347,2,17838668,2,5403,1,1561038,2,2885,2,6335051,2,2280,2,2007242,2,16440,85,25163430,232,5110348,0,0
9,i01r04c01s06,2,137862,2,6047,2,50832,2,197334,1,11840681,1,7926619,1,1094027,1,231017,2,13092154,2,5585,1,1631023,2,3037,2,6085485,2,2426,2,1963662,2,16657,85,25685214,232,5201720,0,0
10,i01r04c01s06,2,145405,2,6229,2,49180,2,242518,1,1469925,1,10705286,1,975775,1,201976,2,2609394,2,5328,1,1658625,2,2925,2,7585194,2,2326,2,1923235,2,15863,85,25464032,232,5140957,0,0
11,i01r04c01s06,2,160222,2,7383,2,84157,2,350575,1,20746266,1,3393275,1,996060,1,222904,2,21925042,2,6921,1,1629926,2,4450,2,10300431,2,2882,2,2061457,2,25558,85,26024666,232,5249721,0,0
12,i01r04c01s06,2,124832,2,5906,2,46780,2,194111,1,17057018,1,10138359,1,1049730,1,273856,2,18248117,2,7094,1,1591634,2,3036,2,6298412,2,2251,2,1838016,2,16079,85,22942180,232,5070623,0,0
13,i01r04c01s06,2,184174,2,8484,2,76786,2,423641,1,12773400,1,8347506,1,1006102,1,255355,2,13986789,2,6159,1,1590971,2,4473,2,8401595,2,2619,2,2471767,2,23818,85,22853024,232,5295797,0,0
14,i01r04c01s06,2,135310,2,6577,2,45003,2,304645,1,18342709,1,19557957,1,970085,1,239845,2,19465451,2,6761,1,1638523,2,2783,2,6320295,2,2284,2,1887517,2,16813,85,24027201,232,5107657,0,0
15,i01r04c01s06,2,177867,2,8242,2,78989,2,252897,1,16090588,1,7698736,1,980172,1,277759,2,17271224,2,6341,1,1589484,2,4052,2,8865779,2,3091,2,2069403,2,22082,85,24041081,232,5311663,0,0
16,i01r04c01s06,2,129010,2,5948,2,67468,2,227677,1,17739746,1,10824450,1,1007849,1,222383,2,18894991,2,5525,1,1567906,2,3779,2,8319713,2,2672,2,1737007,2,20950,85,24662058,232,5204442,0,0
17,i01r04c01s06,2,137176,2,5999,2,52899,2,252540,1,11929285,1,10663981,1,936136,1,289560,2,13022348,2,5952,1,1586344,2,3051,2,6187946,2,2499,2,1780993,2,16981,85,23363525,232,5227044,0,0
18,i01r04c01s06,2,155483,2,7352,2,69306,2,321383,1,20149213,1,16978556,1,1023664,1,281618,2,21349443,2,8020,1,1591308,2,3680,2,6515783,2,2012,2,1766575,2,21447,85,23133719,232,5213818,0,0
19,i01r04c01s06,2,133500,2,6124,2,51402,2,227500,1,10591061,1,20030433,1,978175,1,218989,2,11720219,2,5610,1,1561573,2,3099,2,6432831,2,2101,2,1675344,2,17092,85,25457377,232,5350179,0,0
20,i01r04c01s06,2,128805,2,6286,2,46786,2,337295,1,1375826,1,9286970,1,1061977,1,239880,2,2585767,2,7306,1,1565509,2,2782,2,6709319,2,1910,2,1775422,2,16061,85,24282030,232,5191764,0,0
