rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r01c03s01,2,271940,2,13694,2,43092,2,546015,1,4184483,1,104502443,1,1244360,1,298343,2,5732273,2,12198,1,2146731,2,3764,2,7186766,2,2784,2,1410152,2,20031,64,17241921,189,3660229,0,0
1,i01r01c03s01,2,281874,2,13364,2,43936,2,448632,1,3475144,1,101967997,1,1106244,1,193225,2,4888710,2,7880,1,2137095,2,3885,2,6908831,2,2289,2,2131624,2,18349,64,19480844,189,3718410,0,0
2,i01r01c03s01,2,276702,2,13712,2,42934,2,529213,1,3538126,1,102328810,1,1111083,1,238095,2,4951901,2,7475,1,2128945,2,3882,2,8064766,2,2872,2,1622643,2,19097,64,18651276,189,3664362,0,0
3,i01r01c03s01,2,275158,2,15638,2,42037,2,324930,1,3804423,1,102394898,1,1223833,1,234057,2,5332214,2,7271,1,2142481,2,3774,2,7001855,2,2432,2,1605183,2,17955,64,19317349,189,3690124,0,0
4,i01r01c03s01,2,269757,2,13637,2,39180,2,267020,1,1895857,1,103108253,1,1202524,1,199163,2,3394233,2,7253,1,2132973,2,4149,2,6909048,2,2750,2,1748034,2,19352,64,18597206,189,4215632,0,0
5,i01r01c03s01,2,271752,2,13421,2,47903,2,465889,1,4530970,1,102382816,1,1293526,1,242218,2,6123185,2,6079,1,2137414,2,4092,2,6662522,2,3107,2,1619745,2,18141,64,18520820,189,3641140,0,0
6,i01r01c03s01,2,317171,2,15577,2,41280,2,711769,1,3702801,1,102094326,1,1062639,1,202096,2,5111614,2,8236,1,2131504,2,4243,2,7321650,2,2603,2,1800668,2,19016,64,18644305,189,4185616,0,0
7,i01r01c03s01,2,275533,2,14039,2,39472,2,520233,1,3881858,1,102483060,1,1197342,1,202038,2,5380914,2,7556,1,2131396,2,7826,2,6897218,2,2196,2,1613059,2,17548,64,18685558,189,4039433,0,0
8,i01r01c03s01,2,265230,2,14356,2,42877,2,277312,1,2990793,1,101461630,1,1123112,1,234136,2,4407736,2,6394,1,2126736,2,3536,2,7228626,2,2412,2,1758114,2,18689,64,18631714,189,3540424,0,0
9,i01r01c03s01,2,266441,2,13200,2,36612,2,366565,1,2618462,1,102353746,1,1152925,1,236503,2,4063025,2,6811,1,2136489,2,3849,2,7227353,2,2415,2,1742767,2,17510,64,19317796,189,3684137,0,0
10,i01r01c03s01,2,282619,2,13369,2,38877,2,669623,1,3600685,1,103116355,1,1069895,1,197065,2,4980838,2,7608,1,2183749,2,3844,2,8193905,2,2636,2,1940620,2,19375,64,16356903,189,3848898,0,0
11,i01r01c03s01,2,271126,2,13299,2,42516,2,422850,1,4499579,1,103315153,1,1254079,1,248060,2,6050672,2,7587,1,2134802,2,3810,2,6776576,2,2487,2,1716977,2,19897,64,19137963,189,3697863,0,0
12,i01r01c03s01,2,266732,2,13561,2,41395,2,736572,1,3519270,1,104010845,1,1150170,1,196496,2,4962093,2,6441,1,2131336,2,3644,2,7224210,2,2640,2,2017355,2,19144,64,18847266,189,3604333,0,0
13,i01r01c03s01,2,275056,2,13479,2,41215,2,268971,1,1530606,1,103186023,1,1138915,1,221244,2,2970590,2,7535,1,2175113,2,3582,2,6765941,2,2994,2,1793362,2,21304,64,19438815,189,3701458,0,0
14,i01r01c03s01,2,278999,2,13704,2,38160,2,305736,1,2077861,1,101845111,1,1209068,1,221764,2,3592185,2,7141,1,2128863,2,3398,2,6812200,2,2223,2,1871519,2,18986,64,18672458,189,3628329,0,0
15,i01r01c03s01,2,269159,2,13256,2,46884,2,354802,1,3383174,1,101617763,1,1242959,1,229567,2,4922985,2,7624,1,2144429,2,4792,2,8835580,2,2820,2,2044886,2,22862,64,19431549,189,3731979,0,0
16,i01r01c03s01,2,261151,2,14174,2,38726,2,459204,1,3902292,1,101574252,1,1152723,1,197769,2,5344044,2,8495,1,2147808,2,6356,2,7170898,2,2403,2,1652170,2,23224,64,18570599,189,3843706,0,0
17,i01r01c03s01,2,269540,2,13555,2,41319,2,329919,1,3003587,1,101408682,1,1275245,1,205981,2,4575569,2,5650,1,2136538,2,3175,2,7500021,2,2671,2,1676429,2,17294,64,19490231,189,3671248,0,0
18,i01r01c03s01,2,280760,2,15298,2,39307,2,237732,1,2684171,1,101745355,1,1226278,1,194521,2,4219639,2,6414,1,2132330,2,3622,2,7703324,2,2322,2,1604897,2,19564,64,18764081,189,3666211,0,0
19,i01r01c03s01,2,270226,2,13918,2,39515,2,335564,1,3989800,1,101327543,1,1256751,1,213240,2,5544123,2,9575,1,2136684,2,3927,2,6882704,2,2537,2,1545302,2,18271,64,19380153,189,3706955,0,0
20,i01r01c03s01,2,284246,2,13483,2,46528,2,382949,1,2943806,1,102876172,1,1054108,1,193143,2,4309684,2,8985,1,2148530,2,4258,2,8933697,2,2289,2,2427839,2,17643,64,18812129,189,3667621,0,0
21,i01r01c03s01,2,265179,2,13512,2,37543,2,325910,1,2503568,1,101824823,1,1029581,1,206769,2,3823475,2,6165,1,2134104,2,3890,2,6866067,2,2426,2,1792067,2,18053,64,19154858,189,3660074,0,0
22,i01r01c03s01,2,281793,2,13348,2,37956,2,288008,1,1639964,1,102802460,1,1173489,1,224402,2,3121312,2,7918,1,2127453,2,4580,2,6843211,2,2630,2,1796614,2,21822,64,18659763,189,3632391,0,0
