rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r04c01s06,2,190268,2,6752,2,55632,2,203864,1,11957470,1,12630747,1,878290,1,204926,2,13054538,2,6110,1,1597310,2,3265,2,7483067,2,2694,2,1888654,2,16150,85,20959373,232,5063597,0,0
1,i01r04c01s06,2,158296,2,7094,2,56022,2,308050,1,2436846,1,19538752,1,942998,1,389051,2,3558914,2,7645,1,1591851,2,3001,2,6546540,2,2177,2,1901978,2,17002,85,21748499,232,5176764,0,0
2,i01r04c01s06,2,136949,2,6284,2,47893,2,206101,1,23507012,1,9677931,1,960153,1,203318,2,24623416,2,5681,1,1599256,2,3015,2,7023909,2,2348,2,1656552,2,16688,85,21698636,232,4982099,0,0
3,i01r04c01s06,2,131404,2,6293,2,49402,2,189076,1,9280062,1,19761010,1,966643,1,205489,2,10396967,2,7105,1,1565916,2,6775,2,6468770,2,1999,2,2066891,2,16342,85,24575230,232,5388093,0,0
4,i01r04c01s06,2,130456,2,6255,2,49044,2,196667,1,12464957,1,11837968,1,922454,1,250275,2,13535534,2,6582,1,1569613,2,3194,2,7411792,2,2070,2,2060555,2,15891,85,24261853,232,4879262,0,0
5,i01r04c01s06,2,131082,2,6162,2,58748,2,415418,1,23944910,1,19458595,1,946508,1,209185,2,25041180,2,5581,1,1565767,2,3187,2,6160159,2,2069,2,2030357,2,15978,85,23891007,232,5101598,0,0
6,i01r04c01s06,2,132500,2,6530,2,55177,2,208627,1,23376604,1,12417188,1,1070480,1,213606,2,24598540,2,5603,1,1574362,2,2981,2,6232593,2,2452,2,2170373,2,16686,85,24004689,232,5040682,0,0
7,i01r04c01s06,2,131170,2,6363,2,48016,2,194764,1,23780834,1,19821939,1,979167,1,311204,2,24909205,2,4808,1,1564757,2,3293,2,6894559,2,2074,2,2145405,2,16389,85,24915214,232,5280808,0,0
8,i01r04c01s06,2,124039,2,6359,2,54292,2,199274,1,13848545,1,8350885,1,1060495,1,501141,2,15052386,2,4823,1,1572718,2,3220,2,6501182,2,2374,2,1916298,2,16058,85,23628470,232,5123848,0,0
9,i01r04c01s06,2,145175,2,6071,2,51662,2,197063,1,12970320,1,19539396,1,1196629,1,196285,2,14330133,2,5999,1,1564713,2,3183,2,6462235,2,2082,2,2037168,2,16633,85,24950216,232,5142041,0,0
10,i01r04c01s06,2,159795,2,7513,2,66131,2,195347,1,21203004,1,3272463,1,1060166,1,267430,2,22444696,2,5818,1,1595734,2,8601,2,8476578,2,3046,2,2553251,2,18294,85,21776397,232,5502118,0,0
11,i01r04c01s06,2,135180,2,6338,2,49267,2,202763,1,12898708,1,15473599,1,1076667,1,201952,2,14128354,2,5998,1,1561545,2,2984,2,7347544,2,2602,2,1835718,2,15693,85,24349984,232,5210532,0,0
