rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i03r06c04s12,2,1965108,2,102327,2,53303,2,236010,1,307067641,1,831619382,1,1682765,1,180909,2,310843792,2,7866,1,15531947,2,3900,2,7501263,2,22081,2,1021297,2,13823,78,60724965,190,3309281,0,0
1,i03r06c04s12,2,1976017,2,98314,2,57391,2,215774,1,309057182,1,832488775,1,2158780,1,448265,2,313306780,2,9798,1,15547975,2,4193,2,6669271,2,20355,2,2015627,2,14300,78,62286755,190,3706235,0,0
2,i03r06c04s12,2,1987747,2,103729,2,57544,2,280928,1,307268324,1,832403588,1,1984813,1,181027,2,311359710,2,8923,1,15535815,2,4199,2,6897948,2,23403,2,1579146,2,15189,78,61580462,190,3710105,0,0
3,i03r06c04s12,2,1958200,2,112572,2,72277,2,435915,1,309613334,1,827861895,1,1921296,1,232521,2,313622955,2,9131,1,15548973,2,5841,2,7599508,2,48496,2,1907597,2,19166,78,62550497,190,3805541,0,0
4,i03r06c04s12,2,2056260,2,96108,2,55828,2,274265,1,307121589,1,830774708,1,2010875,1,185457,2,311300036,2,8473,1,15545358,2,4097,2,6981458,2,23229,2,1816187,2,14001,78,61614675,190,3601921,0,0
5,i03r06c04s12,2,1841631,2,105516,2,54964,2,472928,1,308330161,1,830055487,1,1918147,1,182028,2,312211672,2,9843,1,15554603,2,3691,2,6671674,2,19239,2,2772513,2,13364,78,61620343,190,3737156,0,0
6,i03r06c04s12,2,2063708,2,99759,2,58759,2,268510,1,308391433,1,826215798,1,2014783,1,221594,2,312585602,2,7750,1,15536684,2,3656,2,6756274,2,23534,2,1550349,2,14075,78,61708238,190,3739219,0,0
7,i03r06c04s12,2,1934844,2,99675,2,58175,2,378500,1,310026534,1,829214276,1,2099550,1,203473,2,314177577,2,7928,1,15545659,2,4547,2,6365075,2,27180,2,1774725,2,13541,78,62639984,190,3885801,0,0
8,i03r06c04s12,2,1966071,2,101410,2,60020,2,301357,1,309752401,1,829819229,1,2209405,1,206816,2,314046137,2,7537,1,15536061,2,3927,2,6647693,2,47048,2,1879682,2,14316,78,61653044,190,3745208,0,0
9,i03r06c04s12,2,1930390,2,99687,2,57565,2,363966,1,310004439,1,831252826,1,1914423,1,193950,2,313966143,2,6314,1,15554508,2,4574,2,6403021,2,32495,2,2198212,2,14024,78,62473533,190,3775316,0,0
10,i03r06c04s12,2,2050080,2,105519,2,58499,2,446631,1,310015660,1,831213018,1,2099482,1,602114,2,314286847,2,5411,1,15544401,2,4543,2,6226563,2,26615,2,1833520,2,14581,78,61620133,190,3828789,0,0
