rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r01c03s01,2,287734,2,13101,2,44412,2,364148,1,4416053,1,119250747,1,1362141,1,257570,2,6098339,2,12910,1,2146493,2,3483,2,6533538,2,3652,2,1369911,2,18288,64,17981494,189,3606985,0,0
1,i01r01c03s01,2,279685,2,13506,2,45390,2,312302,1,3646150,1,119126338,1,1189171,1,208581,2,5141715,2,7982,1,2148461,2,7355,2,7511141,2,2596,2,1371938,2,19301,64,19331485,189,4038102,0,0
2,i01r01c03s01,2,332597,2,15789,2,56621,2,296085,1,4291472,1,120619899,1,1179883,1,213711,2,5833749,2,6035,1,2150516,2,5454,2,8877446,2,3478,2,1462601,2,26975,64,18797815,189,3776071,0,0
3,i01r01c03s01,2,264374,2,13741,2,39984,2,259556,1,2618468,1,120552127,1,1219468,1,192019,2,4128553,2,7311,1,2153714,2,4104,2,6803108,2,2510,2,1660273,2,18251,64,19366747,189,3711166,0,0
4,i01r01c03s01,2,268004,2,13753,2,41818,2,332975,1,2808137,1,119165292,1,1256805,1,220146,2,4359194,2,7018,1,2146768,2,3465,2,6721487,2,2356,2,1626431,2,17427,64,18590887,189,3629058,0,0
5,i01r01c03s01,2,269123,2,13867,2,37471,2,244825,1,3676898,1,120151604,1,1224114,1,201916,2,5195832,2,6590,1,2152440,2,4032,2,6509467,2,2492,2,1705845,2,18408,64,19237585,189,3642863,0,0
6,i01r01c03s01,2,271039,2,13374,2,47218,2,268123,1,5302313,1,119709240,1,1076593,1,226374,2,6677045,2,7428,1,2146006,2,3894,2,6619968,2,2865,2,1599734,2,17353,64,18709907,189,3641342,0,0
7,i01r01c03s01,2,283928,2,14174,2,37312,2,251252,1,1973422,1,120600015,1,1169091,1,199064,2,3452332,2,7742,1,2157499,2,3646,2,7415582,2,2453,2,1667794,2,17743,64,19472383,189,3646214,0,0
8,i01r01c03s01,2,338848,2,16221,2,48606,2,340249,1,3233494,1,119201915,1,1278913,1,198358,2,4880716,2,5967,1,2154231,2,6913,2,8934072,2,4603,2,1548864,2,33261,64,18522526,189,3654102,0,0
9,i01r01c03s01,2,266075,2,13077,2,39591,2,305853,1,2968936,1,120609530,1,1197692,1,204213,2,4458214,2,8610,1,2153351,2,4203,2,6738531,2,2314,2,1709866,2,17149,64,19221031,189,3678813,0,0
10,i01r01c03s01,2,273652,2,13498,2,45946,2,288124,1,5081221,1,120499884,1,1311669,1,232294,2,6693599,2,5786,1,2148601,2,4493,2,7244641,2,3008,2,1557446,2,18643,64,18945407,189,3671345,0,0
11,i01r01c03s01,2,287511,2,13838,2,40758,2,318445,1,4401343,1,120977146,1,1193897,1,299583,2,5909024,2,8263,1,2155626,2,3927,2,6613484,2,2361,2,1588003,2,17350,64,19137304,189,3701623,0,0
12,i01r01c03s01,2,268830,2,13809,2,46733,2,272719,1,3696569,1,120717127,1,1279701,1,226399,2,5270978,2,6238,1,2149425,2,4095,2,6658634,2,2784,2,1793510,2,18002,64,18805790,189,3769648,0,0
13,i01r01c03s01,2,270176,2,13462,2,62641,2,500024,1,5072228,1,119711396,1,1163611,1,226840,2,6533001,2,6117,1,2152277,2,4812,2,7902527,2,2895,2,2187705,2,22747,64,19459830,189,3689290,0,0
14,i01r01c03s01,2,264480,2,13925,2,40632,2,304686,1,4331699,1,119725874,1,1269421,1,290690,2,5890881,2,6934,1,2149016,2,3591,2,6575672,2,2541,2,1628964,2,19200,64,18499469,189,3628325,0,0
15,i01r01c03s01,2,279102,2,12946,2,43094,2,406295,1,4946960,1,120723786,1,1222044,1,197458,2,6473517,2,6685,1,2154482,2,5219,2,6656600,2,2845,2,1624440,2,19035,64,18724148,189,3628677,0,0
16,i01r01c03s01,2,265992,2,14105,2,41162,2,234065,1,1166473,1,121371711,1,1217740,1,217395,2,2676856,2,7888,1,2146000,2,3788,2,6569813,2,2689,2,1641682,2,18777,64,18648678,189,3683569,0,0
17,i01r01c03s01,2,263789,2,13720,2,48400,2,392297,1,5159933,1,119398689,1,1308335,1,195959,2,6761140,2,8388,1,2149448,2,3521,2,9312468,2,2794,2,2559951,2,18855,64,19238787,189,3746212,0,0
18,i01r01c03s01,2,284559,2,13574,2,39993,2,469320,1,3057152,1,119410736,1,1172311,1,239544,2,4538774,2,11789,1,2145738,2,3875,2,6617168,2,2466,2,1875553,2,18494,64,17900049,189,3702362,0,0
19,i01r01c03s01,2,270361,2,13204,2,40978,2,369666,1,3146387,1,119596739,1,1270334,1,226093,2,4712087,2,7453,1,2223011,2,4426,2,6809102,2,2554,2,2097975,2,18403,64,17250649,189,3710100,0,0
20,i01r01c03s01,2,281232,2,13609,2,38993,2,327300,1,2798111,1,120482812,1,1241651,1,210821,2,4347296,2,7836,1,2144808,2,3786,2,6698758,2,2360,2,1723371,2,18540,64,18534741,189,3660315,0,0
21,i01r01c03s01,2,283022,2,13361,2,40116,2,358314,1,2430890,1,119853846,1,1045125,1,271441,2,3783663,2,9536,1,2157349,2,3686,2,6735941,2,2828,2,1735288,2,18879,64,19493498,189,3709570,0,0
22,i01r01c03s01,2,271888,2,13697,2,42951,2,267193,1,1137802,1,119691364,1,1295089,1,212031,2,2730294,2,7476,1,2145817,2,3535,2,6889258,2,2524,2,1742481,2,19210,64,18579520,189,3689745,0,0
23,i01r01c03s01,2,279540,2,13852,2,43314,2,392394,1,3064033,1,119883279,1,1125103,1,209137,2,4495668,2,9128,1,2154007,2,3272,2,8108674,2,2075,2,2488867,2,17671,64,19640678,189,3679053,0,0
