rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r04c01s06,2,132748,2,6078,2,46679,2,185066,1,18660146,1,10332532,1,820299,1,628332,2,19639090,2,10881,1,1575437,2,3054,2,5965672,2,2595,2,1715896,2,15657,85,22957168,232,5135498,0,0
1,i01r04c01s06,2,135024,2,6134,2,50035,2,311511,1,12573664,1,20046288,1,1160217,1,255256,2,13888346,2,4744,1,1565264,2,3143,2,5918064,2,2495,2,1853837,2,16132,85,24553289,232,5219156,0,0
2,i01r04c01s06,2,158122,2,7409,2,76144,2,275962,1,20988183,1,6727667,1,1046156,1,304195,2,22214498,2,5045,1,1588459,2,4118,2,9272046,2,2855,2,1982525,2,25047,85,24029849,232,5019118,0,0
3,i01r04c01s06,2,131445,2,6292,2,53293,2,202355,1,14140902,1,18212078,1,1139851,1,202105,2,15431221,2,5322,1,1580697,2,7027,2,5753091,2,1996,2,1967089,2,16360,85,24614156,232,5459571,0,0
4,i01r04c01s06,2,126830,2,6670,2,46782,2,185810,1,19092508,1,20220762,1,1082083,1,223456,2,20323728,2,7222,1,1566966,2,3233,2,5994513,2,2493,2,2101746,2,15447,85,23682943,232,4996508,0,0
5,i01r04c01s06,2,184087,2,8480,2,62958,2,209798,1,13479723,1,11839711,1,997117,1,680500,2,14684161,2,5513,1,1608203,2,3481,2,8673264,2,1975,2,1871608,2,18797,85,23617313,232,5074110,0,0
6,i01r04c01s06,2,134457,2,6163,2,47577,2,185092,1,19936018,1,10916303,1,1006744,1,367821,2,21094225,2,5793,1,1561792,2,6489,2,5915349,2,2030,2,2145690,2,15462,85,23409363,232,5485360,0,0
7,i01r04c01s06,2,134342,2,6242,2,49695,2,220923,1,12128857,1,18896817,1,1056118,1,250253,2,13337570,2,5442,1,1561937,2,2944,2,6209745,2,1846,2,2165148,2,16234,85,25422468,232,5204605,0,0
8,i01r04c01s06,2,126180,2,6400,2,49236,2,178395,1,9939100,1,16639193,1,1099034,1,213154,2,11182567,2,5646,1,1565144,2,3168,2,7051183,2,2352,2,1869071,2,15355,85,24554509,232,5165979,0,0
9,i01r04c01s06,2,133566,2,6444,2,49561,2,332085,1,13296151,1,18935118,1,1183091,1,299992,2,14631550,2,5060,1,1587267,2,3148,2,6600098,2,2034,2,1983645,2,15414,85,24437207,232,5231485,0,0
