rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r06c05s05,2,527454,2,4617,2,90701,2,4795965,1,122588576,1,321201040,1,1555122,1,10484469,2,124700385,2,2584780,1,3159966,2,22224,2,71400332,2,27600,2,12917386,2,32941,91,622993766,293,17019784,0,0
1,i01r06c05s05,2,663258,2,4381,2,91743,2,5742213,1,278378499,1,354816492,1,1871814,1,12652439,2,280934137,2,2597820,1,3169707,2,24252,2,75275343,2,33280,2,12441893,2,35473,91,901316795,293,16583894,0,0
2,i01r06c05s05,2,649532,2,4358,2,94865,2,5924875,1,300484920,1,343541275,1,1856121,1,13197184,2,303012583,2,2500264,1,3151595,2,18165,2,74270324,2,32569,2,14199211,2,51648,91,881344790,293,15698789,0,0
3,i01r06c05s05,2,647704,2,4232,2,78885,2,1736540,1,272634846,1,354865923,1,1777925,1,12797903,2,275080779,2,2902851,1,3146727,2,16714,2,60513098,2,16668,2,15948695,2,21812,91,895140025,293,16297010,0,0
4,i01r06c05s05,2,705209,2,4041,2,90748,2,6112863,1,339302065,1,314091884,1,1837238,1,12521496,2,341866178,2,2503010,1,3225379,2,16578,2,74386547,2,39263,2,15032580,2,36667,91,898518532,293,14171680,0,0
5,i01r06c05s05,2,670055,2,4245,2,91703,2,2316935,1,346514479,1,354083980,1,1867265,1,12967532,2,349076754,2,2628151,1,3141046,2,22356,2,59074668,2,18980,2,16169667,2,23199,91,895680098,293,16808775,0,0
6,i01r06c05s05,2,662565,2,4673,2,94458,2,6352905,1,325847749,1,315542846,1,1844404,1,18013863,2,328378812,2,3259451,1,3116643,2,16202,2,81105229,2,32102,2,19175770,2,36862,91,919502674,293,14440522,0,0
7,i01r06c05s05,2,650948,2,4851,2,86672,2,1793833,1,341808180,1,310579144,1,1881401,1,18715024,2,344362000,2,2693113,1,3094688,2,11348,2,57672910,2,18315,2,15823674,2,20592,91,911759895,293,13934212,0,0
8,i01r06c05s05,2,687559,2,4923,2,102218,2,6130680,1,135563940,1,297913561,1,1875118,1,12292217,2,138149524,2,2600433,1,3158450,2,24885,2,77891291,2,39927,2,14940501,2,41536,91,905076120,293,16915415,0,0
9,i01r06c05s05,2,659648,2,4779,2,100002,2,1780863,1,282896051,1,309570871,1,1729019,1,12151013,2,285305963,2,2605223,1,3165091,2,16835,2,56184286,2,18865,2,15214570,2,19891,91,902728906,293,16379587,0,0
10,i01r06c05s05,2,678000,2,4151,2,96068,2,1876544,1,298775061,1,345211889,1,1873764,1,12488737,2,301348314,2,2836917,1,3113723,2,11190,2,61218510,2,25338,2,17010818,2,22745,91,914606187,293,14151256,0,0
11,i01r06c05s05,2,655706,2,4363,2,107774,2,5916697,1,342632812,1,325852956,1,1722570,1,14501454,2,345032057,2,2627655,1,3164116,2,17414,2,76511188,2,33772,2,13544763,2,34968,91,908083580,293,14124430,0,0
12,i01r06c05s05,2,651218,2,4336,2,92316,2,1732950,1,121053625,1,301197659,1,1613538,1,13794054,2,123338664,2,2531062,1,3258232,2,11525,2,53279986,2,16927,2,15493584,2,19902,91,881834061,293,13964021,0,0
13,i01r06c05s05,2,652879,2,4699,2,101595,2,2025130,1,344843917,1,354752820,1,1782879,1,13062298,2,347302150,2,2939422,1,3160796,2,10947,2,62486243,2,18617,2,15887487,2,20627,91,912232727,293,14273020,0,0
14,i01r06c05s05,2,653093,2,4373,2,94298,2,6252760,1,325285357,1,314809764,1,1875975,1,18912258,2,327836649,2,2505484,1,3254587,2,15031,2,73888137,2,33524,2,14699127,2,32263,91,894762528,293,14056915,0,0
15,i01r06c05s05,2,672580,2,4075,2,109139,2,5720202,1,346040883,1,307478720,1,1658845,1,12874745,2,348393759,2,2568448,1,3085329,2,23634,2,80484105,2,32147,2,14179062,2,34103,91,910972896,293,16541616,0,0
16,i01r06c05s05,2,630827,2,4351,2,97136,2,5291107,1,145499312,1,343544590,1,1694952,1,17633321,2,147847918,2,2563314,1,3094069,2,30158,2,71291891,2,35686,2,14562072,2,54317,91,917278559,293,16433318,0,0
17,i01r06c05s05,2,668666,2,4266,2,103336,2,5799883,1,290152855,1,349140012,1,1794528,1,18136630,2,292638431,2,2501111,1,3132266,2,18640,2,78387722,2,31208,2,14145999,2,52484,91,892435666,293,16237241,0,0
18,i01r06c05s05,2,678991,2,4130,2,101316,2,1797301,1,263803928,1,320199240,1,1649687,1,18908395,2,266155310,2,2590571,1,3290530,2,11187,2,55239599,2,19022,2,15152956,2,22909,91,889147617,293,14043267,0,0
19,i01r06c05s05,2,659588,2,4627,2,93681,2,1785979,1,298677006,1,350058032,1,1839539,1,12446839,2,301197900,2,2596939,1,3107206,2,17208,2,56464156,2,18354,2,14636515,2,23836,91,913581944,293,16142200,0,0
20,i01r06c05s05,2,638159,2,4343,2,97201,2,6272448,1,298037599,1,351369749,1,1870325,1,13257672,2,300568022,2,2593456,1,3158398,2,24745,2,79361687,2,36073,2,14833063,2,38988,91,904997681,293,16466680,0,0
21,i01r06c05s05,2,642255,2,4241,2,81548,2,5707899,1,292075606,1,306028280,1,1778606,1,12694620,2,294519498,2,2496642,1,3150438,2,22725,2,74813763,2,35661,2,13969960,2,36802,91,908288287,293,15970187,0,0
22,i01r06c05s05,2,636007,2,4582,2,91731,2,2426278,1,325997118,1,325903097,1,1818080,1,12709820,2,328474366,2,2836177,1,3096684,2,17077,2,60213740,2,19635,2,16757859,2,26740,91,904137478,293,15710879,0,0
23,i01r06c05s05,2,639817,2,4593,2,98065,2,5552201,1,276332297,1,350149527,1,1844904,1,19723859,2,278839527,2,2456986,1,3163036,2,22252,2,74784969,2,37375,2,12996124,2,33808,91,906628274,293,16483711,0,0
