rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i04r09c03s01,2,863854,2,4463,2,175047,2,3783277,1,119940547,1,835171383,1,4449911,1,37397242,2,125287271,2,4459799,1,11789285,2,23327,2,83618390,2,34248,2,66686405,2,52385,78,678724346,385,28254734,0,0
1,i04r09c03s01,2,837425,2,3910,2,195455,2,4019899,1,206899633,1,818199236,1,4434894,1,27381953,2,212192128,2,4397959,1,11927254,2,34217,2,82426944,2,36905,2,65431483,2,52371,78,1110320652,385,31004594,0,0
2,i04r09c03s01,2,867440,2,4250,2,173621,2,3535034,1,136528497,1,830823424,1,4540804,1,26833068,2,141958220,2,4508849,1,11766463,2,23512,2,82618846,2,30499,2,65746443,2,50630,78,1138708904,385,29269487,0,0
3,i04r09c03s01,2,858632,2,4018,2,175955,2,8808581,1,122198030,1,785620875,1,4499845,1,27225154,2,127577688,2,4525465,1,11975863,2,31092,2,102838482,2,72497,2,65321080,2,95207,78,1120187823,385,29866077,0,0
4,i04r09c03s01,2,879148,2,4337,2,174219,2,7167868,1,77661939,1,796952679,1,4498929,1,27134726,2,83060475,2,4862139,1,11561907,2,49473,2,108042083,2,82697,2,63925534,2,86891,78,1158761022,385,30724275,0,0
5,i04r09c03s01,2,859240,2,4194,2,187333,2,8792490,1,109795410,1,790812948,1,4555631,1,24882943,2,115232245,2,4441048,1,11998374,2,51076,2,100750195,2,68230,2,62016243,2,80053,78,1130258277,385,30589541,0,0
6,i04r09c03s01,2,833143,2,4404,2,182542,2,3739716,1,95500647,1,829797786,1,4568857,1,28232156,2,100924172,2,4351892,1,11734944,2,35069,2,85791070,2,35092,2,62763025,2,50969,78,1111061486,385,30531473,0,0
7,i04r09c03s01,2,867134,2,4180,2,206846,2,10118605,1,198896900,1,832045996,1,4447670,1,36703906,2,204235700,2,5781142,1,11737695,2,39819,2,122017101,2,70344,2,86031020,2,77616,78,1134528965,385,29544633,0,0
8,i04r09c03s01,2,876558,2,4093,2,180398,2,3893325,1,169886324,1,825940698,1,4566030,1,29129782,2,175348983,2,4291375,1,11767849,2,23210,2,85001573,2,34352,2,65351002,2,51180,78,1150741934,385,30797043,0,0
9,i04r09c03s01,2,869269,2,4025,2,205218,2,9495251,1,197003165,1,814822584,1,4542647,1,29274781,2,202435884,2,5760714,1,11726383,2,59050,2,122420187,2,59151,2,89066216,2,69948,78,1142663635,385,29826249,0,0
10,i04r09c03s01,2,885038,2,3833,2,201854,2,7669983,1,179289588,1,824807851,1,4644483,1,27472037,2,184840927,2,5952527,1,11796222,2,31040,2,118077891,2,84463,2,90019916,2,104795,78,1137383328,385,30398784,0,0
11,i04r09c03s01,2,837095,2,4174,2,176601,2,3780298,1,154693798,1,829297793,1,4545372,1,27561306,2,160096609,2,4422743,1,11742591,2,33566,2,81068746,2,34399,2,66089431,2,46202,78,1152777013,385,31097667,0,0
12,i04r09c03s01,2,881641,2,4437,2,183845,2,4085750,1,181407687,1,736784959,1,4508818,1,24932733,2,186819053,2,4293699,1,11786203,2,35193,2,86276495,2,36900,2,63631913,2,53927,78,1131308808,385,30667466,0,0
13,i04r09c03s01,2,861723,2,4354,2,171905,2,8866169,1,123416275,1,824244358,1,4564567,1,26786403,2,128865558,2,4535322,1,11737560,2,52835,2,101144242,2,64538,2,64514623,2,90617,78,1155856789,385,30636079,0,0
14,i04r09c03s01,2,858103,2,3615,2,179088,2,3963389,1,170693902,1,832223790,1,4503360,1,28510453,2,176075110,2,4376343,1,11940848,2,22581,2,84472986,2,34620,2,67134175,2,50196,78,1153461872,385,30560991,0,0
15,i04r09c03s01,2,856008,2,3810,2,182557,2,8474677,1,193802507,1,701276539,1,4559124,1,28869306,2,199237139,2,4500964,1,12194007,2,42553,2,102476313,2,54489,2,64574100,2,67854,78,1130850099,385,31356298,0,0
16,i04r09c03s01,2,858786,2,4186,2,205253,2,4081712,1,105919489,1,827130601,1,4587097,1,37655717,2,111387473,2,4361849,1,11763901,2,34991,2,84785027,2,35819,2,65757310,2,51466,78,1158661146,385,30152108,0,0
17,i04r09c03s01,2,878855,2,4497,2,167227,2,8530837,1,82443480,1,723381188,1,4499759,1,27344408,2,87841626,2,4544554,1,11964191,2,27198,2,103582900,2,53409,2,62906537,2,65126,78,1131272704,385,30511000,0,0
18,i04r09c03s01,2,875015,2,4241,2,179641,2,3503271,1,155410445,1,830735055,1,4375110,1,27265673,2,160681896,2,4787700,1,11771858,2,35343,2,77121652,2,30806,2,66104470,2,50461,78,1147033326,385,31080200,0,0
19,i04r09c03s01,2,855809,2,3952,2,164288,2,3784717,1,154589677,1,830920984,1,4504467,1,26340131,2,159970449,2,4479629,1,11696636,2,34454,2,78804586,2,33247,2,64176504,2,49362,78,1141082623,385,30117092,0,0
20,i04r09c03s01,2,835977,2,4040,2,187400,2,3538001,1,120757300,1,825417927,1,4437786,1,26910170,2,126050484,2,4833870,1,11772160,2,23338,2,78158732,2,31994,2,63267831,2,48052,78,1156371502,385,30472095,0,0
21,i04r09c03s01,2,878256,2,3941,2,199365,2,3645241,1,105083574,1,817549359,1,4332804,1,37065779,2,110318993,2,4437780,1,11771606,2,34492,2,79612812,2,35057,2,63061054,2,53246,78,1136852847,385,30409650,0,0
22,i04r09c03s01,2,865962,2,4028,2,206619,2,7035049,1,197764974,1,829388704,1,4339626,1,28366395,2,202994449,2,4742370,1,11731891,2,54118,2,102479053,2,57415,2,65469142,2,70989,78,1132383323,385,30623944,0,0
23,i04r09c03s01,2,869367,2,4061,2,267880,2,5673430,1,211478169,1,776929724,1,4376856,1,27624232,2,216747537,2,5831732,1,11684110,2,50159,2,97735580,2,69808,2,88184564,2,71085,78,1145279779,385,30439174,0,0
24,i04r09c03s01,2,858879,2,4498,2,183980,2,3528108,1,167344036,1,832631052,1,4345054,1,24353807,2,172571044,2,4387358,1,12002382,2,26111,2,80865988,2,32734,2,65218257,2,38339,78,1111104938,385,30837003,0,0
25,i04r09c03s01,2,867824,2,4362,2,189136,2,3452828,1,159729771,1,820756080,1,4332030,1,26231799,2,164951910,2,4512527,1,11975629,2,34204,2,78338280,2,32547,2,65411614,2,51148,78,1134143422,385,30200162,0,0
26,i04r09c03s01,2,847641,2,4119,2,199104,2,4051105,1,202789385,1,735920658,1,4421812,1,26853766,2,208081282,2,4399363,1,11490107,2,35158,2,82906303,2,32750,2,66951891,2,51282,78,1155249185,385,30389883,0,0
27,i04r09c03s01,2,853468,2,4081,2,176144,2,3766798,1,124014457,1,700796726,1,4345203,1,28351221,2,129234011,2,4363756,1,11494937,2,33823,2,81869009,2,34634,2,65884265,2,49384,78,1129198069,385,30720519,0,0
28,i04r09c03s01,2,852269,2,3948,2,175859,2,3667605,1,82954802,1,713611468,1,4557417,1,24320219,2,88384556,2,4630179,1,11553106,2,34297,2,85289334,2,33633,2,65830254,2,48063,78,1131109467,385,31082383,0,0
29,i04r09c03s01,2,843476,2,4125,2,165622,2,3439448,1,80220324,1,710638800,1,4449292,1,37758996,2,85531938,2,4320441,1,11690581,2,34237,2,82500840,2,30965,2,65578557,2,47593,78,1136425614,385,30290144,0,0
30,i04r09c03s01,2,861782,2,4104,2,183468,2,3720196,1,114198469,1,830701321,1,4488683,1,27746979,2,119571455,2,4416317,1,11778458,2,26118,2,84667404,2,33572,2,65315861,2,38183,78,1143264274,385,30932377,0,0
