rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r07c04s02,2,3241796,2,9177,2,405282,2,14499447,1,1027157855,1,2372800800,1,18089502,1,1001354917,2,1048529080,2,7419864,1,38788687,2,123935,2,216005565,2,197311,2,68482225,2,152980,432,30759446316,921,159364348,0,0
1,i01r07c04s02,2,2988329,2,8727,2,460643,2,11505521,1,854990726,1,2379152323,1,18338972,1,1008472403,2,876348702,2,7731698,1,38673068,2,79734,2,154212974,2,113036,2,71041462,2,118272,432,51939133753,921,213931025,0,0
2,i01r07c04s02,2,3204402,2,8713,2,429532,2,11224824,1,1018284044,1,2376383136,1,18348046,1,860506919,2,1039868242,2,6849684,1,37398690,2,96640,2,146831259,2,126332,2,87660326,2,112256,432,50733264194,921,182495881,0,0
3,i01r07c04s02,2,3222651,2,8253,2,396826,2,8610768,1,643119912,1,2404931773,1,18441643,1,426534857,2,664813072,2,6150568,1,37531147,2,79627,2,147364665,2,87902,2,72887008,2,102140,432,51170442318,921,181207800,0,0
4,i01r07c04s02,2,3292485,2,9478,2,449932,2,12237709,1,1024013838,1,2374767784,1,18421063,1,1005418869,2,1045759043,2,6295340,1,38910535,2,126227,2,150687263,2,151980,2,79234634,2,123015,432,51191533040,921,196730784,0,0
5,i01r07c04s02,2,3238742,2,9066,2,450197,2,8702569,1,485809213,1,2398925696,1,18275807,1,338331585,2,507356388,2,6127349,1,37548300,2,83649,2,149032719,2,83484,2,74930200,2,102036,432,50590174748,921,199889397,0,0
6,i01r07c04s02,2,3192119,2,8591,2,363349,2,12747670,1,962870827,1,2373067971,1,18307891,1,906169818,2,984399112,2,7190965,1,38910031,2,107586,2,170580098,2,164498,2,61453350,2,154471,432,50727065026,921,190652703,0,0
7,i01r07c04s02,2,3091696,2,8765,2,350242,2,8468789,1,789880189,1,2386285517,1,18384207,1,706956346,2,811385546,2,6100950,1,39035243,2,80512,2,138686033,2,89130,2,72758440,2,99267,432,52098619160,921,218355581,0,0
8,i01r07c04s02,2,3278708,2,8448,2,431113,2,10964942,1,1015948755,1,2372973252,1,18522338,1,999855944,2,1037779205,2,6786693,1,38804753,2,101207,2,153624992,2,119966,2,81447129,2,113889,432,51229587903,921,198963471,0,0
9,i01r07c04s02,2,3143428,2,8464,2,417121,2,8396690,1,746576912,1,2402885132,1,18252348,1,755920454,2,768000896,2,7033626,1,38563846,2,79283,2,133046872,2,90183,2,74872907,2,105258,432,51225544186,921,212478284,0,0
10,i01r07c04s02,2,3270224,2,8853,2,442251,2,13314853,1,1026840214,1,2370322808,1,18114298,1,1012196162,2,1048254084,2,7419232,1,38965175,2,80116,2,168848284,2,125944,2,69612997,2,123184,432,51503436478,921,192232719,0,0
11,i01r07c04s02,2,3235894,2,8325,2,400547,2,9311188,1,699959221,1,2399482646,1,18257118,1,439634130,2,721483681,2,6179412,1,38606965,2,79746,2,144649713,2,92262,2,75488852,2,98973,432,50745119465,921,203945720,0,0
12,i01r07c04s02,2,3107130,2,8983,2,497790,2,13123079,1,1026465747,1,2371083932,1,18163405,1,963868259,2,1047767512,2,6783486,1,37563013,2,110850,2,152830192,2,148398,2,76695903,2,131468,432,51561023735,921,207985842,0,0
13,i01r07c04s02,2,3215961,2,8674,2,381232,2,8774931,1,644646076,1,2404923685,1,17957002,1,307220670,2,665848731,2,6463565,1,37653325,2,80028,2,146213786,2,91514,2,73583804,2,91765,432,51468962174,921,218806396,0,0
14,i01r07c04s02,2,3227038,2,9452,2,374700,2,9848511,1,963136945,1,2371703435,1,18114997,1,904382255,2,984509818,2,6505297,1,38999087,2,61463,2,134576875,2,90051,2,81513080,2,110926,432,51485311349,921,206253723,0,0
15,i01r07c04s02,2,3209487,2,8395,2,363544,2,10585090,1,777474165,1,2377016905,1,18109813,1,704863818,2,798821600,2,6339359,1,38574135,2,100132,2,171543462,2,167506,2,54391525,2,134780,432,51681104272,921,207187629,0,0
16,i01r07c04s02,2,3300262,2,8487,2,360466,2,11677612,1,958462362,1,2382849360,1,18295820,1,1000215808,2,980087471,2,8136285,1,38909456,2,100922,2,171634129,2,160645,2,60851055,2,136676,432,51223348837,921,208792440,0,0
17,i01r07c04s02,2,3147514,2,8793,2,392643,2,8904475,1,543088424,1,2401198708,1,17911325,1,442609477,2,564177209,2,7457470,1,39022537,2,69912,2,150414854,2,84172,2,78753099,2,97194,432,51106206333,921,211178166,0,0
18,i01r07c04s02,2,3205259,2,8832,2,422066,2,9740134,1,962527178,1,2373224616,1,18171571,1,911191177,2,983933254,2,6426043,1,38861000,2,81607,2,132106669,2,88597,2,84200583,2,103559,432,51385297045,921,203452602,0,0
19,i01r07c04s02,2,3143910,2,8842,2,370061,2,8451650,1,780883395,1,2380490589,1,18265097,1,409325859,2,802321338,2,6586083,1,37845626,2,79759,2,134867124,2,88373,2,74550308,2,96251,432,51056196447,921,204503720,0,0
20,i01r07c04s02,2,3236164,2,8671,2,347046,2,10072086,1,963387082,1,2393698581,1,18482080,1,999904688,2,985134301,2,6139456,1,38955142,2,80383,2,136308559,2,88031,2,82881480,2,90945,432,51000757637,921,214448954,0,0
21,i01r07c04s02,2,3234488,2,8246,2,425504,2,9306707,1,594608833,1,2397187127,1,17985266,1,408667753,2,615860314,2,7074751,1,38634805,2,83295,2,156777697,2,87525,2,74056410,2,108814,432,51799235728,921,230668125,0,0
22,i01r07c04s02,2,3150391,2,8223,2,435892,2,10839846,1,1015986883,1,2371735299,1,18194859,1,906144483,2,1037361958,2,6848317,1,39010411,2,82681,2,151998133,2,118020,2,81018777,2,124876,432,51313837714,921,202778783,0,0
23,i01r07c04s02,2,3246996,2,8652,2,385489,2,8452247,1,721144609,1,2393769903,1,18193269,1,805744362,2,742614722,2,6404182,1,37587361,2,80150,2,138111127,2,88539,2,77068291,2,101986,432,51060626746,921,220397695,0,0
24,i01r07c04s02,2,3135045,2,8506,2,415055,2,11932064,1,1027264698,1,2401360017,1,18401375,1,1008803927,2,1048828962,2,8218987,1,38946988,2,104418,2,183425803,2,123890,2,85396291,2,112113,432,51164787600,921,205671602,0,0
25,i01r07c04s02,2,3218445,2,8325,2,374394,2,8592988,1,720641728,1,2394745481,1,18022886,1,862411755,2,741912223,2,6864634,1,38785501,2,80811,2,136514056,2,85473,2,75065637,2,99431,432,51305526452,921,218799983,0,0
26,i01r07c04s02,2,3233605,2,8590,2,433216,2,11097212,1,1019646605,1,2386728857,1,18444010,1,1001218508,2,1041353815,2,6456169,1,37480521,2,75361,2,150516298,2,117384,2,80533408,2,104894,432,52052489586,921,217142674,0,0
27,i01r07c04s02,2,3134280,2,8335,2,398335,2,8753326,1,747550130,1,2390096870,1,18187388,1,812423744,2,768900742,2,6485744,1,37475120,2,79130,2,134266904,2,86031,2,76925344,2,102086,432,51195270037,921,210669862,0,0
28,i01r07c04s02,2,3161619,2,8442,2,416103,2,12883973,1,1027699010,1,2370933881,1,18534023,1,1009633392,2,1049423783,2,6360141,1,38996660,2,76897,2,154881675,2,132073,2,73434826,2,110229,432,51448325963,921,202506520,0,0
29,i01r07c04s02,2,3220888,2,8652,2,403705,2,8800096,1,752839924,1,2394608128,1,18078336,1,915162464,2,774169634,2,7024740,1,39076974,2,62226,2,132824642,2,88713,2,74048578,2,97543,432,52461761416,921,288405553,0,0
30,i01r07c04s02,2,3247019,2,8691,2,380623,2,8901106,1,960311205,1,2383026606,1,17981255,1,906243590,2,981569415,2,9305446,1,38932535,2,80650,2,130698708,2,85830,2,79124638,2,93753,432,51083333046,921,209762981,0,0
31,i01r07c04s02,2,3153179,2,8275,2,409796,2,9838233,1,677949670,1,2376191696,1,17840297,1,889638523,2,698976255,2,7550633,1,38555502,2,102521,2,142735040,2,94333,2,71757100,2,108006,432,51356143198,921,210736086,0,0
32,i01r07c04s02,2,3062978,2,8795,2,383899,2,9842512,1,961983834,1,2376641826,1,18164734,1,1007638163,2,983240709,2,6884257,1,39007765,2,79200,2,134071752,2,88235,2,82010088,2,99223,432,51104818381,921,218801622,0,0
33,i01r07c04s02,2,3143398,2,8953,2,398816,2,8738182,1,753557285,1,2402211749,1,18216547,1,435922574,2,774945859,2,6508905,1,39035331,2,81593,2,132585108,2,86828,2,74093949,2,97032,432,51432643095,921,218896268,0,0
34,i01r07c04s02,2,3270937,2,8278,2,379634,2,8994727,1,960342915,1,2387003309,1,18331969,1,858544338,2,981973740,2,7552635,1,39252671,2,81685,2,132837981,2,91513,2,81999600,2,103493,432,51210823492,921,226051984,0,0
35,i01r07c04s02,2,3207894,2,8513,2,380961,2,9554169,1,928558436,1,2377067469,1,18049087,1,831041390,2,949843342,2,6141339,1,38671440,2,82979,2,131628032,2,84680,2,71840757,2,115969,432,50948555192,921,215088172,0,0
36,i01r07c04s02,2,3097228,2,8925,2,348706,2,9633102,1,965308684,1,2370019050,1,18237307,1,1013535061,2,986671962,2,6344557,1,38997868,2,80180,2,132864998,2,89245,2,83094952,2,95338,432,51649734353,921,220662316,0,0
37,i01r07c04s02,2,3208738,2,8472,2,394452,2,8727515,1,801388538,1,2404968169,1,18309703,1,369738340,2,822936835,2,5938972,1,38729009,2,78974,2,134414843,2,90007,2,72650418,2,93941,432,51182821634,921,216472978,0,0
