rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r06c05s05,2,525703,2,4523,2,107760,2,7024741,1,332067415,1,307230707,1,1728074,1,11088763,2,334353012,2,3362057,1,3245061,2,29315,2,79543269,2,36433,2,16995457,2,39366,91,636129310,293,16749761,0,0
1,i01r06c05s05,2,646944,2,4102,2,97968,2,5317045,1,286298238,1,338797158,1,1863021,1,16183270,2,288829784,2,2529612,1,3182821,2,24631,2,75136864,2,32378,2,12107693,2,35758,91,928062209,293,16567003,0,0
2,i01r06c05s05,2,632803,2,4534,2,94776,2,6004899,1,267997408,1,279684824,1,1817967,1,16829080,2,270470446,2,2482727,1,3233946,2,19985,2,74003880,2,33891,2,14073046,2,51702,91,904356502,293,15765527,0,0
3,i01r06c05s05,2,656882,2,5073,2,88705,2,2000157,1,330532346,1,332723194,1,1796825,1,11702338,2,333008522,2,2976165,1,3173806,2,10914,2,64752773,2,17723,2,15876974,2,28475,91,916903319,293,14360981,0,0
4,i01r06c05s05,2,638037,2,4848,2,90001,2,5317454,1,309874593,1,294626361,1,1827549,1,18536458,2,312364806,2,3158990,1,3328619,2,19027,2,89703704,2,39556,2,21101988,2,40392,91,915145047,293,14287670,0,0
5,i01r06c05s05,2,663334,2,4673,2,89714,2,1714532,1,321710445,1,291539985,1,1870143,1,10671360,2,324268261,2,2651350,1,3183432,2,11507,2,56701098,2,18633,2,15756067,2,20722,91,919345051,293,13977835,0,0
6,i01r06c05s05,2,693968,2,4286,2,93105,2,6125274,1,163264568,1,219024584,1,1889908,1,12672701,2,165870282,2,2495931,1,3187156,2,36334,2,74231975,2,35694,2,12909364,2,56703,91,931886963,293,16814740,0,0
7,i01r06c05s05,2,645958,2,4109,2,96129,2,1805017,1,157039702,1,295612023,1,1928023,1,10794046,2,159635229,2,2593862,1,3182420,2,22078,2,56173157,2,18726,2,15861173,2,24503,91,919395456,293,16305885,0,0
8,i01r06c05s05,2,662584,2,4543,2,105095,2,6774824,1,315382707,1,316934908,1,1891421,1,10741109,2,317961030,2,2617722,1,3189498,2,16950,2,78966492,2,34160,2,15183021,2,33365,91,924874169,293,14499102,0,0
9,i01r06c05s05,2,680086,2,3998,2,99278,2,1711996,1,332764311,1,337908802,1,1695292,1,18127811,2,335161059,2,2653751,1,3329535,2,10952,2,57629435,2,20997,2,15179382,2,23541,91,890764002,293,13854280,0,0
