rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i03r06c04s12,2,1963551,2,99755,2,56192,2,203435,1,476423131,1,838284203,1,2243452,1,181094,2,480773691,2,6978,1,12866793,2,3459,2,6109332,2,19495,2,950897,2,13632,78,67711883,190,3309643,0,0
1,i03r06c04s12,2,2076441,2,97568,2,53423,2,229413,1,484164427,1,749283774,1,2635857,1,184755,2,488990553,2,10711,1,11369013,2,4166,2,6364858,2,21212,2,1866591,2,13529,78,68850203,190,3658624,0,0
2,i03r06c04s12,2,1949634,2,97947,2,54425,2,247777,1,483399582,1,840122638,1,2596313,1,205548,2,488058688,2,7211,1,11370913,2,4268,2,7471414,2,22332,2,2346234,2,13103,78,68259054,190,3660131,0,0
3,i03r06c04s12,2,2039406,2,103267,2,53046,2,209047,1,477484342,1,838504282,1,2729301,1,189272,2,482371509,2,7073,1,11368029,2,3868,2,6454415,2,21746,2,1470861,2,13653,78,69215252,190,3914396,0,0
4,i03r06c04s12,2,1976677,2,107226,2,52842,2,206077,1,483447868,1,841104393,1,2727207,1,180485,2,488275425,2,10581,1,11368465,2,3851,2,7581424,2,20773,2,2727265,2,13279,78,68558859,190,3660078,0,0
5,i03r06c04s12,2,2063743,2,99982,2,52459,2,208463,1,482650213,1,840784451,1,2679333,1,195433,2,487509364,2,9620,1,11368356,2,3721,2,6307354,2,20513,2,1779684,2,13106,78,68982874,190,3827370,0,0
6,i03r06c04s12,2,2047209,2,97465,2,69189,2,326717,1,475987840,1,840694113,1,2667517,1,183997,2,480817645,2,8010,1,11374410,2,4135,2,7446634,2,35171,2,1887558,2,18765,78,69283656,190,3805908,0,0
7,i03r06c04s12,2,1966640,2,102830,2,51978,2,322487,1,451881090,1,841220619,1,2702046,1,186361,2,456666728,2,10332,1,11376110,2,3473,2,7125108,2,18368,2,1951620,2,14657,78,68306893,190,3883915,0,0
8,i03r06c04s12,2,1958889,2,104897,2,51457,2,328853,1,482265190,1,839154866,1,2642599,1,197936,2,486986651,2,8685,1,11369282,2,3825,2,6224278,2,19930,2,1957100,2,13529,78,67542731,190,3729185,0,0
9,i03r06c04s12,2,2058073,2,98632,2,50764,2,236922,1,484330131,1,840979108,1,2688071,1,195132,2,489192017,2,7069,1,11375196,2,3751,2,6287431,2,23800,2,1939536,2,13612,78,68909313,190,3790912,0,0
10,i03r06c04s12,2,1961308,2,107575,2,52961,2,230992,1,478683113,1,839603419,1,2609078,1,200952,2,483377588,2,6595,1,11372217,2,4155,2,6209708,2,19984,2,1998035,2,13112,78,68323626,190,3649371,0,0
11,i03r06c04s12,2,1950997,2,98631,2,52190,2,196063,1,484080776,1,839991099,1,2773940,1,182474,2,488920376,2,5304,1,11371952,2,4326,2,7081165,2,19473,2,2330033,2,12902,78,69003941,190,3846331,0,0
12,i03r06c04s12,2,1864599,2,102184,2,52802,2,325424,1,484078377,1,839604843,1,2660235,1,190315,2,488721419,2,5177,1,11359863,2,4176,2,7054221,2,25422,2,1603166,2,14308,78,68589750,190,3780056,0,0
13,i03r06c04s12,2,1947129,2,106573,2,49231,2,291553,1,483848239,1,839430666,1,2637941,1,196727,2,488554363,2,8524,1,11363417,2,3894,2,7113436,2,18466,2,2459388,2,12878,78,68663801,190,3861085,0,0
14,i03r06c04s12,2,1834208,2,100478,2,66096,2,683463,1,484460197,1,836102472,1,2626473,1,206314,2,489038172,2,6537,1,11364726,2,5490,2,7355029,2,38122,2,3849217,2,18683,78,68546178,190,3759502,0,0
15,i03r06c04s12,2,1960150,2,106044,2,52780,2,250105,1,484536311,1,838526112,1,2531045,1,195643,2,489148986,2,9172,1,11365510,2,4062,2,6273544,2,21927,2,2051146,2,13162,78,69219181,190,3946736,0,0
16,i03r06c04s12,2,1954899,2,102406,2,61882,2,393185,1,484589247,1,837364340,1,2717805,1,192959,2,489380656,2,5386,1,11374257,2,5338,2,7915273,2,37135,2,2239993,2,18260,78,68421420,190,3838884,0,0
17,i03r06c04s12,2,2021603,2,99730,2,50136,2,322005,1,475523703,1,837649422,1,2757328,1,206970,2,480416791,2,5747,1,11362551,2,3371,2,6544487,2,20104,2,2638822,2,13669,78,68145209,190,3944905,0,0
18,i03r06c04s12,2,2039627,2,104884,2,54235,2,338265,1,484304401,1,840633988,1,2602942,1,185283,2,489066964,2,6541,1,11372587,2,5042,2,7982113,2,41730,2,2856377,2,16077,78,68172009,190,3792772,0,0
19,i03r06c04s12,2,1934885,2,104189,2,70496,2,203388,1,480927289,1,838692456,1,2655515,1,209830,2,485637353,2,5663,1,11371242,2,4060,2,6257521,2,19354,2,1858595,2,13521,78,69121197,190,3929896,0,0
20,i03r06c04s12,2,1970257,2,96771,2,52684,2,248372,1,484641649,1,839111918,1,2543516,1,205185,2,489267940,2,5085,1,11362409,2,4211,2,6552281,2,31946,2,1814776,2,13190,78,68600249,190,3792959,0,0
21,i03r06c04s12,2,1954011,2,98028,2,69281,2,337935,1,476825282,1,840598421,1,2735292,1,204124,2,481628611,2,5584,1,11372469,2,4823,2,7782535,2,34877,2,2325275,2,17750,78,68969393,190,3812911,0,0
22,i03r06c04s12,2,1974512,2,98530,2,50544,2,328274,1,484713406,1,837942539,1,2619786,1,178253,2,489421987,2,5702,1,11373004,2,4376,2,6155239,2,35735,2,2683033,2,13881,78,68446570,190,3694002,0,0
23,i03r06c04s12,2,1970185,2,97040,2,52734,2,206570,1,483784417,1,839474884,1,2722817,1,354251,2,488590776,2,4972,1,11378527,2,3469,2,7190668,2,22038,2,2631539,2,13111,78,68960849,190,3881241,0,0
24,i03r06c04s12,2,1961340,2,105565,2,55597,2,283851,1,482061964,1,839114159,1,2635260,1,230782,2,486779844,2,6534,1,11363902,2,3916,2,6306822,2,22039,2,1997497,2,14343,78,68459368,190,3854623,0,0
25,i03r06c04s12,2,1963888,2,104315,2,52786,2,269985,1,484897764,1,837059122,1,2673185,1,181170,2,489654557,2,5462,1,11365165,2,3594,2,6170307,2,31868,2,1829399,2,13626,78,68741870,190,3901908,0,0
26,i03r06c04s12,2,1964522,2,100965,2,54453,2,220871,1,473887548,1,838334062,1,2618116,1,178082,2,478586780,2,7581,1,11364734,2,4004,2,7094838,2,24198,2,2809330,2,13767,78,68409579,190,4055220,0,0
27,i03r06c04s12,2,1929713,2,99298,2,47964,2,210024,1,475549351,1,840671361,1,2646486,1,177612,2,480239507,2,6013,1,11373962,2,3352,2,7719263,2,18068,2,2458953,2,12549,78,69062735,190,3860148,0,0
28,i03r06c04s12,2,1856725,2,105845,2,57933,2,233074,1,485116400,1,840081285,1,2558411,1,195934,2,489653717,2,5395,1,11359102,2,3642,2,6025769,2,21931,2,1790298,2,13221,78,68652351,190,3872630,0,0
29,i03r06c04s12,2,1937835,2,103076,2,55135,2,271535,1,485050476,1,839285453,1,2722376,1,197533,2,489829934,2,5091,1,11358917,2,3773,2,6530941,2,20765,2,2121268,2,14097,78,68733030,190,3978135,0,0
30,i03r06c04s12,2,2063329,2,98311,2,56695,2,264880,1,482256854,1,839551212,1,2530905,1,189740,2,486966689,2,4891,1,11368280,2,3549,2,6229649,2,19749,2,2413449,2,13156,78,68588453,190,4143412,0,0
31,i03r06c04s12,2,1972998,2,101421,2,48822,2,222598,1,474941244,1,839558135,1,2566797,1,188444,2,479598122,2,6043,1,11378380,2,4092,2,6434938,2,17481,2,1809637,2,13325,78,69234806,190,3910077,0,0
32,i03r06c04s12,2,2040484,2,102010,2,50743,2,222440,1,482447958,1,837319571,1,2744522,1,192632,2,487351862,2,5603,1,12869516,2,3694,2,6208914,2,20051,2,1881708,2,13189,78,70027094,190,3794911,0,0
33,i03r06c04s12,2,2040239,2,103770,2,54758,2,387451,1,484880553,1,838409721,1,2690320,1,195327,2,489730626,2,5487,1,11358021,2,3762,2,6247862,2,22042,2,1790156,2,13803,78,68164187,190,4057472,0,0
34,i03r06c04s12,2,1952708,2,99546,2,53889,2,261085,1,485007977,1,837443567,1,2574567,1,214774,2,489650355,2,5393,1,11361218,2,4127,2,6183889,2,24695,2,1680881,2,13624,78,68302656,190,3945547,0,0
35,i03r06c04s12,2,1949538,2,100052,2,52203,2,243137,1,484609979,1,838221329,1,2640646,1,195134,2,489316489,2,5680,1,11373181,2,3540,2,7106031,2,22513,2,2265786,2,13464,78,69226146,190,3887411,0,0
36,i03r06c04s12,2,1854252,2,107781,2,67625,2,750332,1,484577047,1,839494998,1,2627482,1,187245,2,489183933,2,5896,1,11366837,2,4921,2,7513246,2,39910,2,3241565,2,18492,78,68479715,190,3817532,0,0
37,i03r06c04s12,2,1931588,2,101043,2,53358,2,302936,1,484649272,1,839503064,1,2572140,1,186120,2,489270451,2,6287,1,11370585,2,3601,2,6297903,2,20757,2,1760815,2,13778,78,68985710,190,4113320,0,0
38,i03r06c04s12,2,1969751,2,99223,2,54964,2,312431,1,470934946,1,839790240,1,2567790,1,186215,2,475586224,2,5550,1,11311510,2,7951,2,6381418,2,19471,2,1700162,2,12843,78,72004878,190,4225546,0,0
39,i03r06c04s12,2,1942084,2,100643,2,53925,2,346490,1,484943106,1,838496731,1,2788180,1,194602,2,489789606,2,5770,1,11373572,2,4028,2,6233956,2,28874,2,1644367,2,14185,78,69103432,190,3881363,0,0
40,i03r06c05s01,2,2154911,2,107120,2,60202,2,261278,1,408653238,1,860591047,1,2526390,1,230529,2,413488724,2,20698,1,11370894,2,3958,2,8778306,2,22168,2,2177072,2,14337,78,62124522,190,4706964,0,0
41,i03r06c05s01,2,2114370,2,99143,2,59040,2,248280,1,416418484,1,861479857,1,2660441,1,199275,2,421309932,2,21812,1,11381332,2,7588,2,12068340,2,21876,2,2634963,2,15619,78,63421851,190,5202151,0,0
42,i03r06c05s01,2,2101705,2,115338,2,61084,2,491726,1,420350516,1,858910871,1,2983167,1,219177,2,425570450,2,8209,1,11368787,2,4330,2,9099676,2,30022,2,2391056,2,14646,78,61868220,190,4612565,0,0
43,i03r06c05s01,2,2013440,2,98397,2,62018,2,391467,1,419407801,1,861087031,1,3011962,1,189389,2,424550281,2,9627,1,11380885,2,4932,2,9082588,2,25639,2,2551153,2,14183,78,63082945,190,4404090,0,0
44,i03r06c05s01,2,1900168,2,101407,2,61739,2,511695,1,419880469,1,859237653,1,2871164,1,204437,2,424770998,2,8019,1,11362854,2,4530,2,9947024,2,25709,2,2939131,2,13637,78,63126139,190,4622530,0,0
45,i03r06c05s01,2,1899212,2,99982,2,57849,2,276339,1,414134730,1,861120437,1,2691277,1,196941,2,418844254,2,11733,1,11367647,2,3749,2,8776259,2,21295,2,2455327,2,14725,78,63362588,190,4854009,0,0
46,i03r06c05s01,2,2032834,2,105098,2,59760,2,267681,1,420209213,1,860345037,1,2799556,1,203885,2,425164316,2,8935,1,11367744,2,4224,2,9529963,2,30590,2,2718900,2,14544,78,62713638,190,4731480,0,0
47,i03r06c05s01,2,2022830,2,97024,2,88371,2,564226,1,420368677,1,862240835,1,2594044,1,194934,2,425103295,2,14488,1,11370370,2,5605,2,11425466,2,37402,2,3047633,2,18452,78,62795684,190,4881372,0,0
48,i03r06c05s01,2,1893885,2,96309,2,56376,2,401002,1,417790741,1,861287262,1,2837650,1,207072,2,422635881,2,9568,1,11371759,2,4215,2,9081398,2,26978,2,3328948,2,14529,78,62755391,190,4640359,0,0
