rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i04r09c03s01,2,896269,2,4812,2,183582,2,3896984,1,198710755,1,487084215,1,4310683,1,33808852,2,203948203,2,4302979,1,12040503,2,23721,2,84188051,2,36492,2,66663261,2,52775,78,679648206,385,30146075,0,0
1,i04r09c03s01,2,878529,2,3828,2,229286,2,5297522,1,233951461,1,557028596,1,4372187,1,30989462,2,239226056,2,6030467,1,11934942,2,41992,2,89087037,2,45691,2,85821984,2,54481,78,1104070924,385,28317284,0,0
2,i04r09c03s01,2,891073,2,4414,2,178924,2,3676533,1,162374009,1,557108552,1,4519101,1,21110086,2,167805099,2,5758190,1,12001590,2,34099,2,86548679,2,30597,2,87964947,2,49314,78,1126857571,385,30897588,0,0
3,i04r09c03s01,2,871536,2,4463,2,180565,2,8699357,1,126761938,1,556295293,1,4416168,1,27944258,2,132070317,2,4630282,1,11789586,2,30039,2,103762290,2,73975,2,65879517,2,84215,78,1152696790,385,29141996,0,0
4,i04r09c03s01,2,892676,2,3819,2,205375,2,3789162,1,113905362,1,491067287,1,4496590,1,21259703,2,119317271,2,4331352,1,11591491,2,33997,2,83410598,2,34619,2,64991530,2,50121,78,1155683730,385,30078865,0,0
5,i04r09c03s01,2,866054,2,4091,2,185674,2,8281116,1,114217143,1,536324268,1,4540225,1,29349110,2,119643883,2,4472704,1,11789249,2,46848,2,101727724,2,80261,2,62744145,2,67987,78,1141750899,385,31266241,0,0
6,i04r09c03s01,2,907805,2,3984,2,185691,2,3833488,1,216573370,1,549749660,1,4576285,1,27463863,2,222080080,2,4267835,1,11559468,2,34605,2,85917365,2,34211,2,63968874,2,50517,78,1148548352,385,31115259,0,0
7,i04r09c03s01,2,865039,2,4016,2,192674,2,8455414,1,204744795,1,551796280,1,4328017,1,27535587,2,209959241,2,4855712,1,11519309,2,27759,2,99082058,2,68697,2,64124633,2,74225,78,1165076969,385,29466849,0,0
8,i04r09c03s01,2,889421,2,4075,2,187961,2,3682320,1,119936466,1,551810842,1,4521470,1,40002928,2,125369449,2,4327658,1,12016419,2,23333,2,84892992,2,34315,2,64627569,2,48135,78,1125399825,385,30506555,0,0
9,i04r09c03s01,2,873807,2,4032,2,177255,2,8675228,1,101249905,1,493417883,1,4498274,1,27726592,2,106641987,2,4475694,1,11772244,2,32132,2,106716611,2,70485,2,65544576,2,83527,78,1149989088,385,29950643,0,0
