rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r01c03s01,2,271119,2,14128,2,59203,2,501657,1,5038236,1,128276278,1,1053729,1,739194,2,6397591,2,11087,1,2166164,2,4674,2,8299316,2,4651,2,1321505,2,21639,64,18672062,189,3578761,0,0
1,i01r01c03s01,2,279314,2,13192,2,43970,2,447577,1,3422583,1,128315479,1,1328557,1,884646,2,5057234,2,7347,1,2212398,2,3609,2,6975372,2,2235,2,2248373,2,17939,64,17926797,189,3739387,0,0
2,i01r01c03s01,2,267624,2,13063,2,37586,2,290704,1,2952040,1,129159338,1,1153031,1,521890,2,4397759,2,7750,1,2163191,2,4189,2,7045475,2,2522,2,1671308,2,21111,64,19591499,189,3604070,0,0
3,i01r01c03s01,2,268123,2,13043,2,42063,2,428259,1,3630329,1,128299256,1,1264126,1,2379661,2,5187718,2,6189,1,2211666,2,3615,2,6937012,2,2807,2,1617890,2,18192,64,17826814,189,3666810,0,0
4,i01r01c03s01,2,274246,2,13821,2,38754,2,280004,1,3544388,1,128687633,1,1222067,1,1006425,2,5066689,2,7261,1,2163460,2,3837,2,7222670,2,2397,2,1633637,2,18331,64,19230206,189,3605211,0,0
5,i01r01c03s01,2,266882,2,14151,2,41542,2,275821,1,2521046,1,128362159,1,1369645,1,696526,2,4184689,2,6555,1,2190440,2,3394,2,8204144,2,2509,2,2200561,2,18422,64,20297982,189,3651749,0,0
6,i01r01c03s01,2,265622,2,13899,2,43698,2,366307,1,3172197,1,125568750,1,1310911,1,665661,2,4775346,2,7199,1,2192315,2,3847,2,6988220,2,2540,2,1684490,2,18633,64,18737048,189,3596026,0,0
7,i01r01c03s01,2,281602,2,13288,2,52443,2,400301,1,4792940,1,125523725,1,1004146,1,331850,2,6107894,2,8476,1,2165121,2,3709,2,6783457,2,2595,2,1473212,2,18810,64,20248967,189,3670467,0,0
8,i01r01c03s01,2,276490,2,13719,2,40606,2,309187,1,2845982,1,126224894,1,1235201,1,315472,2,4382841,2,7470,1,2167437,2,3866,2,7125125,2,2409,2,1725981,2,18187,64,19284476,189,3548715,0,0
9,i01r01c03s01,2,267981,2,13078,2,36800,2,266755,1,1407382,1,129053415,1,1360410,1,276283,2,3061637,2,6964,1,2164707,2,4686,2,6490111,2,2352,2,1828887,2,18963,64,20234905,189,3703492,0,0
10,i01r01c03s01,2,268586,2,13805,2,44284,2,548793,1,2373067,1,127168255,1,1338443,1,398511,2,4006205,2,5764,1,2164545,2,3500,2,8098582,2,3187,2,1938979,2,19438,64,18930895,189,3649197,0,0
11,i01r01c03s01,2,273395,2,13528,2,42035,2,329873,1,3869624,1,127771354,1,1314609,1,274447,2,5483710,2,7059,1,2192185,2,3971,2,6891941,2,2644,2,1663030,2,18462,64,20598880,189,3668901,0,0
12,i01r01c03s01,2,262929,2,13328,2,41189,2,277641,1,2585790,1,126802600,1,1297572,1,697800,2,4172127,2,7888,1,2164231,2,3545,2,6816988,2,2310,2,1600527,2,19584,64,19492969,189,3609827,0,0
13,i01r01c03s01,2,275850,2,14079,2,41091,2,279815,1,1336962,1,124779821,1,1046456,1,568593,2,2685798,2,8132,1,2219046,2,3705,2,6453362,2,2299,2,1809429,2,17238,64,18346252,189,3624143,0,0
14,i01r01c03s01,2,258923,2,13078,2,42276,2,476312,1,4785273,1,128761163,1,1098587,1,852314,2,6167403,2,7267,1,2202097,2,3785,2,6881603,2,2550,2,1641614,2,18788,64,18707563,189,3603765,0,0
15,i01r01c03s01,2,264816,2,13452,2,41604,2,313623,1,2597648,1,125349116,1,1325610,1,871086,2,4213727,2,6937,1,2221238,2,3494,2,6753445,2,2663,2,1735234,2,19446,64,18581887,189,3699535,0,0
16,i01r01c03s01,2,263101,2,13124,2,43474,2,269191,1,4039539,1,127809737,1,1357305,1,347754,2,5687133,2,6551,1,2166184,2,3532,2,7064009,2,2417,2,1648693,2,19190,64,19099726,189,3597923,0,0
17,i01r01c03s01,2,273837,2,13205,2,65729,2,655177,1,4615186,1,129453131,1,1215669,1,251866,2,6132539,2,6909,1,2216509,2,5282,2,7748382,2,4243,2,2400769,2,23829,64,18244651,189,3713110,0,0
18,i01r01c03s01,2,276431,2,13418,2,39520,2,272834,1,3632420,1,125888611,1,1173087,1,353485,2,5107755,2,7815,1,2168914,2,3628,2,7158160,2,2986,2,1651826,2,20949,64,19415938,189,3661809,0,0
19,i01r01c03s01,2,270378,2,13563,2,46840,2,335808,1,2518726,1,124834667,1,1333646,1,864964,2,4150511,2,7711,1,2166908,2,4303,2,8014313,2,2742,2,2404213,2,19012,64,20351166,189,3653556,0,0
20,i01r01c03s01,2,316058,2,16270,2,63322,2,585975,1,4902302,1,128839751,1,995391,1,668209,2,6245426,2,5976,1,2165209,2,4917,2,9423545,2,3533,2,2473348,2,25920,64,19229119,189,3783930,0,0
21,i01r01c03s01,2,263267,2,13596,2,38108,2,227505,1,2025951,1,125371843,1,1256000,1,302846,2,3570723,2,8428,1,2167632,2,3510,2,7404300,2,2515,2,1753600,2,17380,64,20482007,189,3634700,0,0
22,i01r01c03s01,2,269330,2,12939,2,40237,2,325665,1,3854453,1,129101074,1,1134060,1,1265968,2,5282526,2,5881,1,2209762,2,3676,2,6947688,2,2122,2,1871170,2,18097,64,17695810,189,3559703,0,0
23,i01r01c03s01,2,270628,2,13398,2,42416,2,306715,1,3546983,1,127132199,1,1333300,1,779285,2,5177329,2,6814,1,2188558,2,3993,2,7126278,2,2194,2,1534768,2,19315,64,20408682,189,3620006,0,0
24,i01r01c03s01,2,264775,2,13233,2,37391,2,320730,1,1348384,1,129524915,1,1162685,1,764772,2,2801156,2,7028,1,2212907,2,4338,2,8161823,2,2572,2,1538849,2,16848,64,17574014,189,3550522,0,0
25,i01r01c03s01,2,276092,2,13278,2,52571,2,443261,1,4353803,1,128396966,1,1329241,1,1204963,2,5986574,2,5978,1,2163897,2,3344,2,6900413,2,2444,2,2276278,2,20580,64,20148355,189,3746096,0,0
26,i01r01c03s01,2,269023,2,13376,2,43085,2,247813,1,1611220,1,128069705,1,1174449,1,613626,2,3079891,2,9244,1,2167611,2,2827,2,6813356,2,2051,2,1823263,2,17474,64,19446301,189,3698009,0,0
27,i01r01c03s01,2,280779,2,13038,2,42089,2,356099,1,2432641,1,124040095,1,1087106,1,266310,2,3825897,2,8264,1,2167492,2,3614,2,6938222,2,2375,2,2521154,2,18388,64,20459689,189,3647385,0,0
28,i01r01c03s01,2,271642,2,12883,2,42360,2,448576,1,2301283,1,128693027,1,1293244,1,373189,2,3890982,2,6589,1,2165418,2,6815,2,8041045,2,2695,2,1848264,2,22218,64,18485693,189,3924091,0,0
29,i01r01c03s01,2,273314,2,13585,2,37927,2,265980,1,2110561,1,127145979,1,1156919,1,899663,2,3566281,2,8501,1,2170405,2,3690,2,6674209,2,2398,2,1613616,2,19008,64,20333207,189,3631254,0,0
30,i01r01c03s01,2,306053,2,13499,2,42487,2,382226,1,4110380,1,126322724,1,1276367,1,1553182,2,5719522,2,6326,1,2166658,2,3716,2,6903166,2,2714,2,1730427,2,18422,64,18852918,189,3639839,0,0
31,i01r01c03s01,2,271615,2,13198,2,39078,2,317568,1,2652659,1,126888291,1,964876,1,932599,2,3914350,2,10118,1,2217675,2,3712,2,7195929,2,2374,2,1607974,2,16674,64,18331919,189,3553954,0,0
32,i01r01c03s01,2,266406,2,13584,2,41740,2,394620,1,3014698,1,127641956,1,1208375,1,771185,2,4516014,2,8731,1,2199846,2,4034,2,7162253,2,2061,2,1983350,2,18498,64,19230187,189,3597249,0,0
