numberOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
16,"BM_submitBlocks/8/1/1048576/manual_time",37,20.5242,33.5425,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time",37,20.3414,33.6811,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time",37,20.2981,33.7489,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time",37,20.1286,33.44,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time",37,21.6847,35.3003,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time_mean",5,20.5954,33.9426,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time_median",5,20.3414,33.6811,ms,,,,,
16,"BM_submitBlocks/8/1/1048576/manual_time_stddev",5,0.624972,0.768431,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time",46,15.3101,23.2889,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time",46,16.4494,24.5753,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time",46,14.0732,21.9207,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time",46,14.8073,22.7769,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time",46,14.511,22.4472,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time_mean",5,15.0302,23.0018,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time_median",5,14.8073,22.7769,ms,,,,,
16,"BM_submitBlocks/16/1/1048576/manual_time_stddev",5,0.912094,1.01061,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time",61,11.6847,17.3332,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time",61,10.1418,15.6435,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time",61,10.9072,16.3928,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time",61,10.2633,15.7943,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time",61,10.2001,15.6909,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time_mean",5,10.6394,16.171,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time_median",5,10.2633,15.7943,ms,,,,,
16,"BM_submitBlocks/32/1/1048576/manual_time_stddev",5,0.660789,0.716003,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time",80,9.07342,13.5891,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time",80,8.53775,13.0216,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time",80,8.41101,12.8579,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time",80,7.98688,12.4231,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time",80,8.05061,12.4939,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time_mean",5,8.41193,12.8771,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time_median",5,8.41101,12.8579,ms,,,,,
16,"BM_submitBlocks/64/1/1048576/manual_time_stddev",5,0.437212,0.469324,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time",94,7.76556,11.8097,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time",94,8.34733,12.43,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time",94,8.18129,12.212,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time",94,7.96056,12.0159,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time",94,7.52513,11.5401,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time_mean",5,7.95597,12.0015,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time_median",5,7.96056,12.0159,ms,,,,,
16,"BM_submitBlocks/128/1/1048576/manual_time_stddev",5,0.32628,0.345607,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time",95,7.39076,11.0406,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time",95,7.37653,11.0267,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time",95,7.5203,11.1756,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time",95,7.72956,11.412,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time",95,7.95619,11.6411,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time_mean",5,7.59467,11.2592,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time_median",5,7.5203,11.1756,ms,,,,,
16,"BM_submitBlocks/256/1/1048576/manual_time_stddev",5,0.246774,0.263632,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time",80,7.59182,11.0042,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time",80,7.99769,11.3857,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time",80,8.13563,11.5745,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time",80,7.53374,10.9279,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time",80,7.58314,10.9772,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time_mean",5,7.76841,11.1739,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time_median",5,7.59182,11.0042,ms,,,,,
16,"BM_submitBlocks/512/1/1048576/manual_time_stddev",5,0.27749,0.288657,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time",97,7.20343,10.4043,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time",97,7.39838,10.6014,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time",97,7.34363,10.5338,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time",97,7.46238,10.6725,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time",97,8.14249,11.3769,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time_mean",5,7.51006,10.7178,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time_median",5,7.39838,10.6014,ms,,,,,
16,"BM_submitBlocks/1024/1/1048576/manual_time_stddev",5,0.366211,0.381504,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time",102,7.01177,9.98495,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time",102,7.45006,10.4814,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time",102,6.80442,9.78433,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time",102,7.1305,10.1406,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time",102,7.16095,10.153,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time_mean",5,7.11154,10.1089,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time_median",5,7.1305,10.1406,ms,,,,,
16,"BM_submitBlocks/1048576/1/1048576/manual_time_stddev",5,0.23541,0.256137,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time",29,25.4434,39.6781,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time",29,23.8113,37.5373,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time",29,23.8977,37.622,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time",29,23.8873,37.6004,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time",29,23.9488,37.6735,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time_mean",5,24.1977,38.0222,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time_median",5,23.8977,37.622,ms,,,,,
16,"BM_submitBlocks/8/2/1048576/manual_time_stddev",5,0.69808,0.926921,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time",39,18.0554,26.2086,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time",39,18.1547,26.3571,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time",39,18.0156,26.0499,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time",39,18.4522,26.8195,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time",39,18.2763,26.3428,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time_mean",5,18.1909,26.3556,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time_median",5,18.1547,26.3428,ms,,,,,
16,"BM_submitBlocks/16/2/1048576/manual_time_stddev",5,0.177455,0.287431,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time",42,15.069,20.7163,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time",42,15.0581,20.6192,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time",42,15.3942,21.1029,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time",42,15.1626,20.7774,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time",42,15.2749,20.9151,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time_mean",5,15.1917,20.8262,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time_median",5,15.1626,20.7774,ms,,,,,
16,"BM_submitBlocks/32/2/1048576/manual_time_stddev",5,0.142877,0.188281,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time",46,14.8259,19.3642,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time",46,14.7314,19.2577,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time",46,14.8087,19.3398,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time",46,14.805,19.3198,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time",46,14.912,19.434,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time_mean",5,14.8166,19.3431,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time_median",5,14.8087,19.3398,ms,,,,,
16,"BM_submitBlocks/64/2/1048576/manual_time_stddev",5,0.0644759,0.0643434,ms,,,,,
16,"BM_submitBlocks/128/2/1048576/manual_time",47,14.9325,19.0304,ms,,,,,
