numerOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
2,"BM_submitBlocks/1048576/1/1048576/manual_time",240,2.93665,5.92383,ms,,,,,
2,"BM_submitBlocks/1048576/1/1048576/manual_time",240,2.91944,5.91117,ms,,,,,
2,"BM_submitBlocks/1048576/1/1048576/manual_time",240,3.28601,6.25291,ms,,,,,
2,"BM_submitBlocks/1048576/1/1048576/manual_time_mean",5,3.13568,6.12378,ms,,,,,
2,"BM_submitBlocks/1048576/1/1048576/manual_time_median",5,3.06929,6.07153,ms,,,,,
2,"BM_submitBlocks/1048576/1/1048576/manual_time_stddev",5,0.236204,0.233053,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time",37,18.6759,32.0884,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time",37,18.6255,32.1075,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time",37,18.6264,32.1277,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time",37,18.645,32.1087,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time",37,18.6037,32.1245,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time_mean",5,18.6353,32.1114,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time_median",5,18.6264,32.1087,ms,,,,,
2,"BM_submitBlocks/8/2/1048576/manual_time_stddev",5,0.0270074,0.0157311,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time",54,13.0858,20.8126,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time",54,13.9932,21.8773,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time",54,12.9596,20.6566,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time",54,13.5475,21.3235,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time",54,12.9366,20.6438,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time_mean",5,13.3045,21.0628,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time_median",5,13.0858,20.8126,ms,,,,,
2,"BM_submitBlocks/16/2/1048576/manual_time_stddev",5,0.457017,0.532563,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time",71,10.0545,15.3637,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time",71,9.94308,15.2514,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time",71,9.89017,15.1694,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time",71,9.93081,15.2541,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time",71,9.8864,15.1632,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time_mean",5,9.941,15.2404,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time_median",5,9.93081,15.2514,ms,,,,,
2,"BM_submitBlocks/32/2/1048576/manual_time_stddev",5,0.0681279,0.0814359,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time",72,9.61039,13.8167,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time",72,9.6476,13.8452,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time",72,9.61473,13.8268,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time",72,9.61062,13.8255,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time",72,9.59127,13.8035,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time_mean",5,9.61492,13.8236,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time_median",5,9.61062,13.8255,ms,,,,,
2,"BM_submitBlocks/64/2/1048576/manual_time_stddev",5,0.0204083,0.0152786,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time",74,9.47271,13.199,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time",74,9.4601,13.1863,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time",74,9.48149,13.2048,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time",74,9.45567,13.184,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time",74,9.4693,13.1973,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time_mean",5,9.46785,13.1943,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time_median",5,9.4693,13.1973,ms,,,,,
2,"BM_submitBlocks/128/2/1048576/manual_time_stddev",5,0.0102491,0.00881694,ms,,,,,
