code,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,iterations,real_time,cpu_time,time_unit
with-id-compression,4,submitBlocks,1024,4,16777216,1,875.616,924.32,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,818.387,882.421,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,822.26,886.868,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,817.959,881.348,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,813.732,876.913,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,794.183,849.817,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,790.6,848.818,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,795.775,855.119,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,793.779,853.127,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,788.969,847.366,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4323.12,4794.22,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4341.52,4872.5,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4297.11,4818.05,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4297.93,4764.95,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4287.95,4822.35,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,772.571,879.687,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,627.957,745.893,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,611.963,738.249,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,609.932,720.849,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,614.487,736.469,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,604.724,711.574,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,601.212,708.61,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,604.358,711.711,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,607.935,714.274,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,602.192,708.492,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5607.55,6108.17,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5614.16,6151.59,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5612.17,6160.23,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5631.01,6107.9,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5675.18,6179.09,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1304.05,1427.9,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1313.74,1434.29,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1300.49,1421.76,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1294.78,1413.46,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1299.8,1421.99,ms
with-id-compression,4,submitBlocks,1048576,3,33554432,1,1271.79,1385.29,ms
with-id-compression,4,submitBlocks,1048576,3,33554432,1,1219.23,1332.23,ms
with-id-compression,4,submitBlocks,1048576,3,33554432,1,1236.44,1350.08,ms
with-id-compression,4,submitBlocks,1048576,3,33554432,1,1204.17,1317.41,ms
with-id-compression,4,submitBlocks,1048576,3,33554432,1,1205.82,1318.64,ms
with-id-compression,4,submitBlocks,8,4,33554432,1,7087.64,7575.7,ms
with-id-compression,4,submitBlocks,8,4,33554432,1,7108.76,7639.39,ms
with-id-compression,4,submitBlocks,8,4,33554432,1,7113.87,7679.93,ms
with-id-compression,4,submitBlocks,8,4,33554432,1,7105.75,7535.14,ms
with-id-compression,4,submitBlocks,8,4,33554432,1,7110.88,7659.19,ms
with-id-compression,4,submitBlocks,1024,4,33554432,1,1901.66,2011.8,ms
with-id-compression,4,submitBlocks,1024,4,33554432,1,1799.62,1925.33,ms
with-id-compression,4,submitBlocks,1024,4,33554432,1,1788.52,1918.45,ms
with-id-compression,4,submitBlocks,1024,4,33554432,1,1761.17,1889.52,ms
with-id-compression,4,submitBlocks,1024,4,33554432,1,1764.64,1892.69,ms
with-id-compression,4,submitBlocks,1048576,4,33554432,1,1765.11,1884.14,ms
with-id-compression,4,submitBlocks,1048576,4,33554432,1,1690.58,1807.08,ms
with-id-compression,4,submitBlocks,1048576,4,33554432,1,1690.22,1805.24,ms
with-id-compression,4,submitBlocks,1048576,4,33554432,1,1698.85,1818.09,ms
with-id-compression,4,submitBlocks,1048576,4,33554432,1,1679.6,1798.11,ms
with-id-compression,4,submitBlocks,8,2,67108864,1,8659.6,9683.49,ms
with-id-compression,4,submitBlocks,8,2,67108864,1,8660.29,9621.28,ms
with-id-compression,4,submitBlocks,8,2,67108864,1,8646.9,9708.45,ms
with-id-compression,4,submitBlocks,8,2,67108864,1,8681.64,9566.45,ms
with-id-compression,4,submitBlocks,8,2,67108864,1,8655.55,9690.56,ms
with-id-compression,4,submitBlocks,1024,2,67108864,1,1565.45,1752.22,ms
with-id-compression,4,submitBlocks,1024,2,67108864,1,1510.19,1740.41,ms
with-id-compression,4,submitBlocks,1024,2,67108864,1,1510.5,1740.45,ms
with-id-compression,4,submitBlocks,1024,2,67108864,1,1498.17,1730.04,ms
with-id-compression,4,submitBlocks,1024,2,67108864,1,1517.67,1747.84,ms
with-id-compression,4,submitBlocks,1048576,2,67108864,1,1494.9,1702.95,ms
with-id-compression,4,submitBlocks,1048576,2,67108864,1,1493.98,1705.51,ms
with-id-compression,4,submitBlocks,1048576,2,67108864,1,1476.6,1686.43,ms
with-id-compression,4,submitBlocks,1048576,2,67108864,1,1479.22,1688.46,ms
with-id-compression,4,submitBlocks,1048576,2,67108864,1,1486.67,1696.96,ms
with-id-compression,4,submitBlocks,8,3,67108864,1,11311,12283.9,ms
with-id-compression,4,submitBlocks,8,3,67108864,1,11298.2,12403,ms
with-id-compression,4,submitBlocks,8,3,67108864,1,11336.1,12441,ms
with-id-compression,4,submitBlocks,8,3,67108864,1,11271,12186.3,ms
with-id-compression,4,submitBlocks,8,3,67108864,1,11399.7,12490.7,ms
with-id-compression,4,submitBlocks,1024,3,67108864,1,2660.36,2832.84,ms
with-id-compression,4,submitBlocks,1024,3,67108864,1,2383.17,2634.46,ms
with-id-compression,4,submitBlocks,1024,3,67108864,1,2362.94,2613.15,ms
with-id-compression,4,submitBlocks,1024,3,67108864,1,2340.67,2586.3,ms
with-id-compression,4,submitBlocks,1024,3,67108864,1,2351.81,2597.45,ms
with-id-compression,4,submitBlocks,1048576,3,67108864,1,2346.88,2570.83,ms
with-id-compression,4,submitBlocks,1048576,3,67108864,1,2330.27,2555.46,ms
with-id-compression,4,submitBlocks,1048576,3,67108864,1,2344.52,2567.77,ms
with-id-compression,4,submitBlocks,1048576,3,67108864,1,2358.96,2587.61,ms
with-id-compression,4,submitBlocks,1048576,3,67108864,1,2368.43,2592.48,ms
with-id-compression,4,submitBlocks,8,4,67108864,1,14369.1,15391.9,ms
