numberOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
32,"BM_submitBlocks/8/1/1048576/manual_time",28,26.2573,40.4473,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time",28,27.7434,42.2962,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time",28,28.0424,42.7092,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time",28,27.5701,42.1331,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time",28,29.1579,43.8564,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time_mean",5,27.7542,42.2884,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time_median",5,27.7434,42.2962,ms,,,,,
32,"BM_submitBlocks/8/1/1048576/manual_time_stddev",5,1.04022,1.2298,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time",28,22.8994,31.7259,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time",28,22.9706,31.5876,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time",28,24.1105,33.0035,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time",28,22.7524,31.3701,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time",28,23.4038,32.1347,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time_mean",5,23.2273,31.9643,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time_median",5,22.9706,31.7259,ms,,,,,
32,"BM_submitBlocks/16/1/1048576/manual_time_stddev",5,0.550022,0.644362,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time",37,20.8544,26.8939,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time",37,20.6731,26.9575,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time",37,20.1928,26.2095,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time",37,19.1701,25.2322,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time",37,18.9941,24.9967,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time_mean",5,19.9769,26.058,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time_median",5,20.1928,26.2095,ms,,,,,
32,"BM_submitBlocks/32/1/1048576/manual_time_stddev",5,0.854115,0.913651,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time",40,19.2591,24.2491,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time",40,18.9246,24.0359,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time",40,18.4224,23.5418,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time",40,19.2204,24.1585,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time",40,18.6867,23.6264,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time_mean",5,18.9026,23.9223,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time_median",5,18.9246,24.0359,ms,,,,,
32,"BM_submitBlocks/64/1/1048576/manual_time_stddev",5,0.355599,0.31931,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time",41,17.0604,21.4543,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time",41,17.7728,22.2177,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time",41,17.2867,21.7559,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time",41,17.9513,22.4644,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time",41,17.1359,21.5713,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time_mean",5,17.4414,21.8927,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time_median",5,17.2867,21.7559,ms,,,,,
32,"BM_submitBlocks/128/1/1048576/manual_time_stddev",5,0.397576,0.432073,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time",41,17.7639,21.7773,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time",41,17.5717,21.4761,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time",41,17.9098,21.8242,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time",41,16.9551,20.8698,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time",41,17.1743,21.0862,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time_mean",5,17.475,21.4067,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time_median",5,17.5717,21.4761,ms,,,,,
32,"BM_submitBlocks/256/1/1048576/manual_time_stddev",5,0.400826,0.420544,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time",41,17.2151,20.8648,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time",41,17.5659,21.2518,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time",41,17.0416,20.6679,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time",41,17.8471,21.6251,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time",41,18.1496,21.8182,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time_mean",5,17.5638,21.2456,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time_median",5,17.5659,21.2518,ms,,,,,
32,"BM_submitBlocks/512/1/1048576/manual_time_stddev",5,0.452138,0.487499,ms,,,,,
32,"BM_submitBlocks/1024/1/1048576/manual_time",38,17.811,21.058,ms,,,,,
32,"BM_submitBlocks/1024/1/1048576/manual_time",38,18.3488,21.4963,ms,,,,,
32,"BM_submitBlocks/1024/1/1048576/manual_time",38,16.8196,19.9694,ms,,,,,
32,"BM_submitBlocks/1024/1/1048576/manual_time",38,17.3529,20.5017,ms,,,,,
