numberOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
64,"BM_submitBlocks/8/1/1048576/manual_time",1,646.824,656.858,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time",1,53.1739,70.7798,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time",1,56.732,73.0528,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time",1,58.8059,75.0696,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time",1,60.7157,75.1194,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time_mean",5,175.25,190.176,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time_median",5,58.8059,75.0696,ms,,,,,
64,"BM_submitBlocks/8/1/1048576/manual_time_stddev",5,263.633,260.889,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time",13,58.5668,68.5743,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time",13,59.6455,69.7962,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time",13,55.593,65.8871,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time",13,54.6399,64.9761,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time",13,54.5904,64.6935,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time_mean",5,56.6071,66.7855,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time_median",5,55.593,65.8871,ms,,,,,
64,"BM_submitBlocks/16/1/1048576/manual_time_stddev",5,2.34721,2.27606,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time",13,55.0229,62.0746,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time",13,55.672,62.9759,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time",13,52.7009,59.8671,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time",13,53.0964,60.208,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time",13,54.8497,61.9678,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time_mean",5,54.2684,61.4186,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time_median",5,54.8497,61.9678,ms,,,,,
64,"BM_submitBlocks/32/1/1048576/manual_time_stddev",5,1.29499,1.32568,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time",11,55.073,60.6885,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time",11,53.5285,59.3418,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time",11,54.9294,60.8396,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time",11,56.647,62.3593,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time",11,55.79,61.5939,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time_mean",5,55.1936,60.9646,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time_median",5,55.073,60.8396,ms,,,,,
64,"BM_submitBlocks/64/1/1048576/manual_time_stddev",5,1.15377,1.12542,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time",12,53.5926,58.3417,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time",12,53.4008,58.0823,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time",12,52.1655,56.8362,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time",12,55.96,60.8323,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time",12,55.8787,60.686,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time_mean",5,54.1995,58.9557,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time_median",5,53.5926,58.3417,ms,,,,,
64,"BM_submitBlocks/128/1/1048576/manual_time_stddev",5,1.66303,1.74265,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time",14,55.8637,60.0515,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time",14,54.9986,59.2092,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time",14,56.4784,60.6335,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time",14,53.7412,57.8287,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time",14,54.1774,58.2945,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time_mean",5,55.0518,59.2035,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time_median",5,54.9986,59.2092,ms,,,,,
64,"BM_submitBlocks/256/1/1048576/manual_time_stddev",5,1.13793,1.17051,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time",14,52.4904,56.2315,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time",14,52.5368,56.4207,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time",14,55.8753,59.69,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time",14,52.8892,56.7991,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time",14,55.5734,59.4895,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time_mean",5,53.873,57.7261,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time_median",5,52.8892,56.7991,ms,,,,,
64,"BM_submitBlocks/512/1/1048576/manual_time_stddev",5,1.70038,1.71494,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time",13,55.4495,58.5729,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time",13,51.9259,55.109,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time",13,51.5701,54.7359,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time",13,52.0812,55.1892,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time",13,51.8827,54.9708,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time_mean",5,52.5819,55.7156,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time_median",5,51.9259,55.109,ms,,,,,
64,"BM_submitBlocks/1024/1/1048576/manual_time_stddev",5,1.61377,1.60651,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time",13,55.4034,58.208,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time",13,51.8211,54.6506,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time",13,52.111,54.9564,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time",13,52.6207,55.4823,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time",13,56.4791,59.3738,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time_mean",5,53.687,56.5342,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time_median",5,52.6207,55.4823,ms,,,,,
64,"BM_submitBlocks/1048576/1/1048576/manual_time_stddev",5,2.11211,2.12183,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time",10,65.0147,82.456,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time",10,59.5094,76.4663,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time",10,59.052,76.0651,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time",10,62.2447,79.4524,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time",10,64.247,81.2112,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time_mean",5,62.0136,79.1302,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time_median",5,62.2447,79.4524,ms,,,,,
64,"BM_submitBlocks/8/2/1048576/manual_time_stddev",5,2.69676,2.82783,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time",12,57.1073,67.5694,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time",12,54.6089,65.0966,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time",12,55.9983,66.4264,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time",12,54.9553,65.3567,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time",12,55.999,66.4017,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time_mean",5,55.7338,66.1702,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time_median",5,55.9983,66.4017,ms,,,,,
64,"BM_submitBlocks/16/2/1048576/manual_time_stddev",5,0.987219,0.986326,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time",10,50.1122,57.5737,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time",10,54.9156,62.2312,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time",10,50.0772,57.3933,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time",10,49.4941,56.8405,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time",10,49.4757,56.5945,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time_mean",5,50.815,58.1266,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time_median",5,50.0772,57.3933,ms,,,,,
64,"BM_submitBlocks/32/2/1048576/manual_time_stddev",5,2.31257,2.32877,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time",12,53.0214,59.0237,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time",12,49.4858,55.354,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time",12,49.9692,55.7661,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time",12,49.0486,54.8958,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time",12,50.4889,56.4627,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time_mean",5,50.4028,56.3004,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time_median",5,49.9692,55.7661,ms,,,,,
64,"BM_submitBlocks/64/2/1048576/manual_time_stddev",5,1.55942,1.62763,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time",13,52.2656,57.1604,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time",13,52.0103,56.7867,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time",13,51.2913,56.1261,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time",13,48.801,53.5283,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time",13,48.2718,52.9913,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time_mean",5,50.528,55.3186,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time_median",5,51.2913,56.1261,ms,,,,,
64,"BM_submitBlocks/128/2/1048576/manual_time_stddev",5,1.86225,1.92491,ms,,,,,
