idRandomization,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,blocksPerPermutationRange,promilleOfRanksThatFail,iterations,real_time,cpu_time,time_unit
FALSE,32,submitBlocksAsynchronously,64,4,16777216,4096,10,1,140.746,460.616,ms
FALSE,32,submitBlocksAsynchronously,64,4,16777216,4096,10,1,143.714,441.679,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,130.866,8274.84,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,118.071,212.307,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,154.8,199.731,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,142.115,294.046,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,140.989,240.574,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,140.719,236.617,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,137.646,293.2,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,144.358,250.201,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,136.955,172.908,ms
FALSE,4,submitBlocksAsynchronously,64,4,16777216,4096,10,1,147.938,240.541,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,157.448,140320,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,150.248,376.206,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,149.092,658.288,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,157.971,409.383,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,154.764,378.269,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,145.566,453.783,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,146.045,411.282,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,153.589,504.696,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,148.712,568.811,ms
FALSE,512,submitBlocksAsynchronously,64,4,16777216,4096,10,1,158.087,340.931,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,154.83,16750.7,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,146.396,415.167,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,148.135,520.973,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,143.887,533.056,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,144.322,404.377,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,149.883,535.228,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,141.784,564.849,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,143.341,453.014,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,150.439,524.964,ms
FALSE,64,submitBlocksAsynchronously,64,4,16777216,4096,10,1,146.951,464.121,ms
FALSE,8,submitBlocksAsynchronously,64,4,16777216,4096,10,1,151.353,8612.76,ms
FALSE,8,submitBlocksAsynchronously,64,4,16777216,4096,10,1,147.671,301.01,ms
FALSE,8,submitBlocksAsynchronously,64,4,16777216,4096,10,1,145.918,324.655,ms
